group_1344	PAGRI_00913	PBONN_01024	PHAYL_01055	PCALE_02543	PFUNG_02465	PMEGA_05499	PPHEM_04003	PPHEX_02753	PPHYM_00796	PPHYT_02970	PSART_01157	PSPRE_00280	PTERA_02676	PTERE_00825	PXENO_03188
pgk	PAGRI_00532	PBONN_02400	PHAYL_02487	PCALE_02850	PFUNG_02148	PMEGA_05950	PPHEM_04920	PPHEX_03056	PPHYM_00467	PPHYT_03293	PSART_00802	PSPRE_03246	PTERA_02978	PTERE_00458	PXENO_02863
group_1980	PAGRI_02283	PBONN_01515	PHAYL_01876	PCALE_01500	PFUNG_03404	PMEGA_04389	PPHEM_05660	PPHEX_01777	PPHYM_00985	PPHYT_01838	PSART_02844	PSPRE_01184	PTERA_01557	PTERE_01697	PXENO_00053
pyrF	PAGRI_00401	PBONN_02558	PHAYL_02770	PCALE_02963	PFUNG_02018	PMEGA_03087	PPHEM_05885	PPHEX_03177	PPHYM_02670	PPHYT_03423	PSART_02688	PSPRE_03119	PTERA_03101	PTERE_02689	PXENO_02733
cheB_1	PAGRI_04143	PBONN_00316	PHAYL_00337	PCALE_03342	PFUNG_01620	PMEGA_06504	PPHEM_00665	PPHEX_03557	PPHYM_03048	PPHYT_03838	PSART_04258	PSPRE_02719	PTERA_03487	PTERE_03077	PXENO_02305
tam_1	PAGRI_00317	PBONN_02694	PHAYL_02877	PCALE_00283	PFUNG_01164	PMEGA_02975	PPHEM_04688	PPHEX_00250	PPHYM_00277	PPHYT_00532	PSART_00604	PSPRE_02303	PTERA_00305	PTERE_00266	PXENO_01857
lpxA	PAGRI_01655	PBONN_01751	PHAYL_01563	PCALE_01281	PFUNG_03173	PMEGA_04867	PPHEM_07342	PPHEX_02288	PPHYM_01359	PPHYT_02439	PSART_01797	PSPRE_00744	PTERA_02092	PTERE_01271	PXENO_03863
group_1020	PAGRI_03765	PBONN_02561	PHAYL_02773	PCALE_02976	PFUNG_02005	PMEGA_06079	PPHEM_05899	PPHEX_03191	PPHYM_02684	PPHYT_03439	PSART_00203	PSPRE_03106	PTERA_03115	PTERE_02703	PXENO_02719
group_418	PAGRI_03873	PBONN_00135	PHAYL_00160	PCALE_03087	PFUNG_01891	PMEGA_06191	PPHEM_06881	PPHEX_03298	PPHYM_02791	PPHYT_03548	PSART_03949	PSPRE_02973	PTERA_03223	PTERE_02811	PXENO_02611
group_1146	PAGRI_05181	PBONN_01072	PHAYL_01111	PCALE_05124	PFUNG_06346	PMEGA_01418	PPHEM_01430	PPHEX_04452	PPHYM_03943	PPHYT_04325	PSART_04553	PSPRE_04766	PTERA_04342	PTERE_05580	PXENO_05973
coaE	PAGRI_03801	PBONN_00615	PHAYL_00630	PCALE_03012	PFUNG_01969	PMEGA_06115	PPHEM_05935	PPHEX_03227	PPHYM_02720	PPHYT_03475	PSART_00167	PSPRE_03070	PTERA_03151	PTERE_02739	PXENO_02683
group_1215	PAGRI_07663	PBONN_03506	PHAYL_03574	PCALE_05444	PFUNG_05318	PMEGA_01239	PPHEM_06631	PPHEX_05055	PPHYM_04459	PPHYT_06861	PSART_03821	PSPRE_04289	PTERA_04855	PTERE_05729	PXENO_05220
scpA	PAGRI_03306	PBONN_02185	PHAYL_01130	PCALE_00815	PFUNG_00720	PMEGA_03668	PPHEM_02911	PPHEX_00834	PPHYM_02257	PPHYT_01000	PSART_02072	PSPRE_01854	PTERA_00750	PTERE_02293	PXENO_01193
hyi_1	PAGRI_02340	PBONN_01462	PHAYL_01929	PCALE_01444	PFUNG_03347	PMEGA_04336	PPHEM_07387	PPHEX_01835	PPHYM_01665	PPHYT_01780	PSART_02900	PSPRE_01242	PTERA_01502	PTERE_01760	PXENO_00154
gltI_2	PAGRI_00438	PBONN_02526	PHAYL_02734	PCALE_02930	PFUNG_02055	PMEGA_03118	PPHEM_05847	PPHEX_03139	PPHYM_02633	PPHYT_03379	PSART_02653	PSPRE_03154	PTERA_03065	PTERE_02654	PXENO_02773
fumC	PAGRI_00930	PBONN_02173	PHAYL_01141	PCALE_02534	PFUNG_02483	PMEGA_05482	PPHEM_03988	PPHEX_02743	PPHYM_00809	PPHYT_02953	PSART_01174	PSPRE_00296	PTERA_02667	PTERE_00842	PXENO_03205
minC	PAGRI_03258	PBONN_00918	PHAYL_00943	PCALE_00848	PFUNG_00681	PMEGA_05640	PPHEM_04127	PPHEX_00869	PPHYM_00665	PPHYT_01044	PSART_01024	PSPRE_01819	PTERA_00785	PTERE_00686	PXENO_01127
fliG	PAGRI_04104	PBONN_00382	PHAYL_00379	PCALE_03304	PFUNG_01658	PMEGA_06461	PPHEM_00701	PPHEX_03519	PPHYM_03011	PPHYT_03800	PSART_04302	PSPRE_02759	PTERA_03447	PTERE_03041	PXENO_02344
group_821	PAGRI_02225	PBONN_01561	PHAYL_01807	PCALE_01557	PFUNG_03526	PMEGA_04460	PPHEM_05594	PPHEX_01723	PPHYM_01041	PPHYT_01913	PSART_02791	PSPRE_01082	PTERA_01668	PTERE_01638	PXENO_04443
bpeR	PAGRI_00550	PBONN_02387	PHAYL_02471	PCALE_02830	PFUNG_02166	PMEGA_05931	PPHEM_04938	PPHEX_03038	PPHYM_00485	PPHYT_03275	PSART_00817	PSPRE_03264	PTERA_02960	PTERE_00476	PXENO_02881
group_597	PAGRI_00432	PBONN_02531	PHAYL_02739	PCALE_02937	PFUNG_02049	PMEGA_03113	PPHEM_05852	PPHEX_03144	PPHYM_02638	PPHYT_03385	PSART_02658	PSPRE_03149	PTERA_03070	PTERE_02659	PXENO_02767
group_430	PAGRI_03958	PBONN_00502	PHAYL_00518	PCALE_03171	PFUNG_01805	PMEGA_06287	PPHEM_07030	PPHEX_03385	PPHYM_02875	PPHYT_03634	PSART_03875	PSPRE_02892	PTERA_03306	PTERE_02899	PXENO_02524
group_718	PAGRI_01029	PBONN_02023	PHAYL_02309	PCALE_02433	PFUNG_02582	PMEGA_05336	PPHEM_03873	PPHEX_02646	PPHYM_00907	PPHYT_02853	PSART_01276	PSPRE_00393	PTERA_02568	PTERE_00940	PXENO_03436
fabG_2	PAGRI_00968	PBONN_02138	PHAYL_01178	PCALE_02496	PFUNG_02521	PMEGA_05441	PPHEM_03951	PPHEX_02706	PPHYM_00846	PPHYT_02915	PSART_01213	PSPRE_00333	PTERA_02630	PTERE_00881	PXENO_03243
group_4202	PAGRI_01434	PBONN_01163	PHAYL_02210	PCALE_01122	PFUNG_02844	PMEGA_05024	PPHEM_04530	PPHEX_02450	PPHYM_01512	PPHYT_02594	PSART_01643	PSPRE_00587	PTERA_01226	PTERE_01117	PXENO_03705
ltaE_2	PAGRI_05363	PBONN_03160	PHAYL_03233	PCALE_06101	PFUNG_06520	PMEGA_00448	PPHEM_00987	PPHEX_05392	PPHYM_03880	PPHYT_05998	PSART_03554	PSPRE_03786	PTERA_05396	PTERE_05411	PXENO_04537
prmA	PAGRI_03773	PBONN_02569	PHAYL_02781	PCALE_02984	PFUNG_01997	PMEGA_06087	PPHEM_05907	PPHEX_03199	PPHYM_02692	PPHYT_03447	PSART_00195	PSPRE_03098	PTERA_03123	PTERE_02711	PXENO_02711
orn	PAGRI_00909	PBONN_01018	PHAYL_01051	PCALE_02547	PFUNG_02461	PMEGA_05503	PPHEM_04007	PPHEX_02757	PPHYM_00792	PPHYT_02974	PSART_01151	PSPRE_00276	PTERA_02680	PTERE_00821	PXENO_03184
rlmN	PAGRI_01485	PBONN_01232	PHAYL_02133	PCALE_01174	PFUNG_02898	PMEGA_04970	PPHEM_04480	PPHEX_02400	PPHYM_01461	PPHYT_02544	PSART_01694	PSPRE_00639	PTERA_01277	PTERE_01167	PXENO_03757
ilvI_1	PAGRI_03065	PBONN_03362	PHAYL_03450	PCALE_02300	PFUNG_00449	PMEGA_03860	PPHEM_03511	PPHEX_01087	PPHYM_02081	PPHYT_01320	PSART_01910	PSPRE_01617	PTERA_01026	PTERE_02134	PXENO_00936
flhA_2	PAGRI_04137	PBONN_00325	PHAYL_00348	PCALE_03336	PFUNG_01626	PMEGA_06498	PPHEM_00671	PPHEX_03551	PPHYM_03042	PPHYT_03832	PSART_04264	PSPRE_02727	PTERA_03481	PTERE_03071	PXENO_02311
ilvC	PAGRI_03063	PBONN_03360	PHAYL_03448	PCALE_02298	PFUNG_00447	PMEGA_03862	PPHEM_03509	PPHEX_01089	PPHYM_02079	PPHYT_01322	PSART_01908	PSPRE_01615	PTERA_01028	PTERE_02132	PXENO_00934
aqpZ_2	PAGRI_04156	PBONN_00305	PHAYL_00327	PCALE_03355	PFUNG_01607	PMEGA_06517	PPHEM_00652	PPHEX_03570	PPHYM_03061	PPHYT_03852	PSART_04243	PSPRE_02706	PTERA_03501	PTERE_03090	PXENO_02292
rhlE2	PAGRI_03149	PBONN_03406	PHAYL_03498	PCALE_00972	PFUNG_00512	PMEGA_03791	PPHEM_03603	PPHEX_01033	PPHYM_02141	PPHYT_01243	PSART_01966	PSPRE_01697	PTERA_00958	PTERE_02184	PXENO_00998
group_730	PAGRI_01096	PBONN_01340	PHAYL_02024	PCALE_02375	PFUNG_02639	PMEGA_05321	PPHEM_03808	PPHEX_02585	PPHYM_01627	PPHYT_02783	PSART_01333	PSPRE_00463	PTERA_02358	PTERE_00998	PXENO_03510
group_723	PAGRI_01060	PBONN_01059	PHAYL_01096	PCALE_02406	PFUNG_02607	PMEGA_05187	PPHEM_03842	PPHEX_02617	PPHYM_01658	PPHYT_02825	PSART_01301	PSPRE_00418	PTERA_02541	PTERE_00967	PXENO_03476
group_632	PAGRI_00586	PBONN_02370	PHAYL_02450	PCALE_02797	PFUNG_02206	PMEGA_05897	PPHEM_04971	PPHEX_03006	PPHYM_00519	PPHYT_03241	PSART_00844	PSPRE_03299	PTERA_02927	PTERE_00513	PXENO_02912
eno	PAGRI_01468	PBONN_01215	PHAYL_02154	PCALE_01157	PFUNG_02881	PMEGA_04987	PPHEM_04497	PPHEX_02077	PPHYM_01478	PPHYT_02561	PSART_01677	PSPRE_00621	PTERA_01260	PTERE_01150	PXENO_03739
trpA	PAGRI_07662	PBONN_03505	PHAYL_03573	PCALE_05443	PFUNG_05317	PMEGA_01240	PPHEM_06632	PPHEX_05056	PPHYM_04460	PPHYT_06860	PSART_03820	PSPRE_04288	PTERA_04856	PTERE_05728	PXENO_05219
group_322	PAGRI_02611	PBONN_01311	PHAYL_02053	PCALE_01943	PFUNG_00010	PMEGA_04199	PPHEM_07746	PPHEX_01404	PPHYM_01767	PPHYT_01633	PSART_03029	PSPRE_01385	PTERA_02203	PTERE_01874	PXENO_00498
glk	PAGRI_03293	PBONN_00896	PHAYL_02533	PCALE_00827	PFUNG_00708	PMEGA_05678	PPHEM_04161	PPHEX_00846	PPHYM_00634	PPHYT_01014	PSART_01000	PSPRE_01841	PTERA_00762	PTERE_00651	PXENO_01158
dcd	PAGRI_03298	PBONN_02176	PHAYL_01138	PCALE_00823	PFUNG_00712	PMEGA_03676	PPHEM_02903	PPHEX_00842	PPHYM_02248	PPHYT_01008	PSART_02064	PSPRE_01845	PTERA_00758	PTERE_02284	PXENO_01183
arnF	PAGRI_02319	PBONN_01481	PHAYL_01908	PCALE_01463	PFUNG_03368	PMEGA_04357	PPHEM_05694	PPHEX_01813	PPHYM_00949	PPHYT_01801	PSART_02877	PSPRE_01218	PTERA_01522	PTERE_01735	PXENO_00089
bfr	PAGRI_02976	PBONN_01126	PHAYL_02258	PCALE_02136	PFUNG_00360	PMEGA_03948	PPHEM_04267	PPHEX_01178	PPHYM_01994	PPHYT_00206	PSART_03198	PSPRE_01530	PTERA_01121	PTERE_02046	PXENO_00830
group_386	PAGRI_03611	PBONN_02433	PHAYL_02636	PCALE_00474	PFUNG_00957	PMEGA_03201	PPHEM_05764	PPHEX_00442	PPHYM_02549	PPHYT_00737	PSART_02555	PSPRE_02112	PTERA_00517	PTERE_02568	PXENO_01633
ilvD_1	PAGRI_03332	PBONN_02205	PHAYL_01264	PCALE_00792	PFUNG_00745	PMEGA_03646	PPHEM_02934	PPHEX_00811	PPHYM_02281	PPHYT_00977	PSART_02095	PSPRE_01876	PTERA_00725	PTERE_02318	PXENO_01331
dbpA	PAGRI_00065	PBONN_02735	PHAYL_00024	PCALE_00045	PFUNG_01410	PMEGA_02667	PPHEM_00482	PPHEX_00028	PPHYM_00014	PPHYT_00028	PSART_04073	PSPRE_02561	PTERA_00035	PTERE_00013	PXENO_02116
group_1182	PAGRI_06194	PBONN_03228	PHAYL_03315	PCALE_04005	PFUNG_04133	PMEGA_02173	PPHEM_03070	PPHEX_05844	PPHYM_03327	PPHYT_05000	PSART_05364	PSPRE_03411	PTERA_06391	PTERE_04338	PXENO_07002
etfB_2	PAGRI_00892	PBONN_01002	PHAYL_01035	PCALE_02565	PFUNG_02444	PMEGA_04827	PPHEM_04025	PPHEX_02775	PPHYM_00776	PPHYT_02991	PSART_01133	PSPRE_00259	PTERA_01159	PTERE_00545	PXENO_01272
rumA	PAGRI_02282	PBONN_01516	PHAYL_01875	PCALE_01501	PFUNG_03405	PMEGA_04390	PPHEM_05658	PPHEX_01776	PPHYM_00987	PPHYT_01839	PSART_02843	PSPRE_01183	PTERA_01558	PTERE_01695	PXENO_00052
group_1232	PAGRI_03193	PBONN_03468	PHAYL_03547	PCALE_00927	PFUNG_00555	PMEGA_03742	PPHEM_03651	PPHEX_00988	PPHYM_02185	PPHYT_01196	PSART_02011	PSPRE_01747	PTERA_00917	PTERE_02227	PXENO_01042
dppF_1	PAGRI_04083	PBONN_00403	PHAYL_00397	PCALE_03284	PFUNG_01679	PMEGA_06432	PPHEM_00722	PPHEX_03500	PPHYM_02988	PPHYT_03779	PSART_04321	PSPRE_02776	PTERA_03426	PTERE_03018	PXENO_02365
group_1497	PAGRI_03035	PBONN_03334	PHAYL_03422	PCALE_02270	PFUNG_00419	PMEGA_03891	PPHEM_03481	PPHEX_01117	PPHYM_02053	PPHYT_01350	PSART_01881	PSPRE_01587	PTERA_01056	PTERE_02105	PXENO_00905
group_340	PAGRI_03018	PBONN_03323	PHAYL_03412	PCALE_02253	PFUNG_00402	PMEGA_03911	PPHEM_03466	PPHEX_01134	PPHYM_02038	PPHYT_01367	PSART_01865	PSPRE_01570	PTERA_01072	PTERE_02089	PXENO_00885
ubiC	PAGRI_03179	PBONN_03451	PHAYL_03531	PCALE_00943	PFUNG_00541	PMEGA_03758	PPHEM_03633	PPHEX_01004	PPHYM_02171	PPHYT_01213	PSART_01997	PSPRE_01735	PTERA_00930	PTERE_02213	PXENO_01027
zapE	PAGRI_02606	PBONN_01316	PHAYL_02048	PCALE_01937	PFUNG_00005	PMEGA_04204	PPHEM_07751	PPHEX_01409	PPHYM_01762	PPHYT_01638	PSART_03024	PSPRE_01380	PTERA_02198	PTERE_01869	PXENO_00493
rmlD_1	PAGRI_03002	PBONN_01135	PHAYL_02238	PCALE_02163	PFUNG_00386	PMEGA_03923	PPHEM_05976	PPHEX_01151	PPHYM_02023	PPHYT_01382	PSART_00046	PSPRE_01557	PTERA_01094	PTERE_02073	PXENO_00861
group_919	PAGRI_03170	PBONN_03442	PHAYL_03523	PCALE_00952	PFUNG_00532	PMEGA_03771	PPHEM_03623	PPHEX_01013	PPHYM_02161	PPHYT_01222	PSART_01987	PSPRE_01717	PTERA_00938	PTERE_02204	PXENO_01018
gltD_2	PAGRI_03939	PBONN_00522	PHAYL_00536	PCALE_03152	PFUNG_01824	PMEGA_06268	PPHEM_07049	PPHEX_03365	PPHYM_02856	PPHYT_03614	PSART_03893	PSPRE_02911	PTERA_03287	PTERE_02880	PXENO_02543
group_142	PAGRI_03658	PBONN_02482	PHAYL_02684	PCALE_00428	PFUNG_01006	PMEGA_03156	PPHEM_05810	PPHEX_00394	PPHYM_02594	PPHYT_00697	PSART_02611	PSPRE_02157	PTERA_00468	PTERE_02615	PXENO_01681
groEL	PAGRI_02698	PBONN_00861	PHAYL_00906	PCALE_00642	PFUNG_00085	PMEGA_02501	PPHEM_00133	PPHEX_00633	PPHYM_02390	PPHYT_00853	PSART_02303	PSPRE_02021	PTERA_00628	PTERE_02443	PXENO_00304
dnaK	PAGRI_03619	PBONN_02441	PHAYL_02646	PCALE_00466	PFUNG_00965	PMEGA_03193	PPHEM_05773	PPHEX_00434	PPHYM_02557	PPHYT_00728	PSART_02563	PSPRE_02120	PTERA_00509	PTERE_02577	PXENO_01642
bioF	PAGRI_00233	PBONN_00175	PHAYL_00209	PCALE_00196	PFUNG_01248	PMEGA_02891	PPHEM_00272	PPHEX_00169	PPHYM_00174	PPHYT_00436	PSART_00533	PSPRE_02377	PTERA_00222	PTERE_00187	PXENO_01946
ybcJ	PAGRI_00934	PBONN_02169	PHAYL_01145	PCALE_02530	PFUNG_02487	PMEGA_05478	PPHEM_03984	PPHEX_02739	PPHYM_00812	PPHYT_02949	PSART_01178	PSPRE_00300	PTERA_02664	PTERE_00846	PXENO_03209
group_522	PAGRI_00137	PBONN_00067	PHAYL_00102	PCALE_00115	PFUNG_01341	PMEGA_02740	PPHEM_00411	PPHEX_00095	PPHYM_00089	PPHYT_00350	PSART_03998	PSPRE_02483	PTERA_00104	PTERE_00086	PXENO_02041
gluQ	PAGRI_03145	PBONN_03405	PHAYL_03497	PCALE_00973	PFUNG_00511	PMEGA_03792	PPHEM_03602	PPHEX_01034	PPHYM_02140	PPHYT_01244	PSART_01965	PSPRE_01696	PTERA_00959	PTERE_02183	PXENO_00997
trpE	PAGRI_03847	PBONN_00576	PHAYL_00589	PCALE_03060	PFUNG_01922	PMEGA_06162	PPHEM_06910	PPHEX_03272	PPHYM_02765	PPHYT_03520	PSART_03977	PSPRE_03025	PTERA_03197	PTERE_02785	PXENO_02638
group_371	PAGRI_03328	PBONN_02201	PHAYL_01268	PCALE_00797	PFUNG_00741	PMEGA_03650	PPHEM_02930	PPHEX_00815	PPHYM_02277	PPHYT_00981	PSART_02091	PSPRE_01872	PTERA_00729	PTERE_02314	PXENO_01327
group_208	PAGRI_00525	PBONN_02407	PHAYL_02494	PCALE_02856	PFUNG_02141	PMEGA_05957	PPHEM_04913	PPHEX_03064	PPHYM_00460	PPHYT_03300	PSART_00795	PSPRE_03237	PTERA_02985	PTERE_00451	PXENO_02856
group_351	PAGRI_03156	PBONN_03414	PHAYL_03507	PCALE_00965	PFUNG_00519	PMEGA_03784	PPHEM_03610	PPHEX_01026	PPHYM_02148	PPHYT_01235	PSART_01973	PSPRE_01704	PTERA_00951	PTERE_02191	PXENO_01005
group_862	PAGRI_02604	PBONN_01318	PHAYL_02046	PCALE_01935	PFUNG_00003	PMEGA_04206	PPHEM_07753	PPHEX_01411	PPHYM_01760	PPHYT_01640	PSART_03022	PSPRE_01378	PTERA_02196	PTERE_01867	PXENO_00491
group_809	PAGRI_02197	PBONN_01587	PHAYL_01770	PCALE_01584	PFUNG_03554	PMEGA_04490	PPHEM_05557	PPHEX_01696	PPHYM_01070	PPHYT_01943	PSART_02764	PSPRE_01055	PTERA_01697	PTERE_01608	PXENO_04414
mrdA	PAGRI_00101	PBONN_00032	PHAYL_00067	PCALE_00079	PFUNG_01377	PMEGA_02700	PPHEM_00450	PPHEX_00059	PPHYM_00052	PPHYT_00311	PSART_04037	PSPRE_02518	PTERA_00068	PTERE_00046	PXENO_02081
group_540	PAGRI_00229	PBONN_00171	PHAYL_00205	PCALE_00192	PFUNG_01252	PMEGA_02887	PPHEM_00275	PPHEX_00165	PPHYM_00169	PPHYT_00432	PSART_00528	PSPRE_02380	PTERA_00218	PTERE_00182	PXENO_01950
zapA	PAGRI_03327	PBONN_02200	PHAYL_01269	PCALE_00798	PFUNG_00740	PMEGA_03651	PPHEM_02929	PPHEX_00816	PPHYM_02276	PPHYT_00982	PSART_02090	PSPRE_01871	PTERA_00730	PTERE_02313	PXENO_01210
hisF	PAGRI_03903	PBONN_00551	PHAYL_00562	PCALE_03117	PFUNG_01861	PMEGA_06234	PPHEM_06850	PPHEX_03328	PPHYM_02822	PPHYT_03578	PSART_03917	PSPRE_02943	PTERA_03253	PTERE_02842	PXENO_02581
group_982	PAGRI_03614	PBONN_02436	PHAYL_02639	PCALE_00471	PFUNG_00960	PMEGA_03198	PPHEM_05767	PPHEX_00439	PPHYM_02552	PPHYT_00734	PSART_02558	PSPRE_02115	PTERA_00514	PTERE_02571	PXENO_01636
grxD	PAGRI_03872	PBONN_00134	PHAYL_00159	PCALE_03086	PFUNG_01892	PMEGA_06190	PPHEM_06882	PPHEX_03297	PPHYM_02790	PPHYT_03547	PSART_03950	PSPRE_02974	PTERA_03222	PTERE_02810	PXENO_02612
glpE_1	PAGRI_00310	PBONN_02700	PHAYL_02883	PCALE_00276	PFUNG_01171	PMEGA_02968	PPHEM_04681	PPHEX_00243	PPHYM_00270	PPHYT_00525	PSART_00597	PSPRE_02310	PTERA_00298	PTERE_00259	PXENO_01864
radC	PAGRI_00669	PBONN_02265	PHAYL_02353	PCALE_02725	PFUNG_02283	PMEGA_05811	PPHEM_05049	PPHEX_02933	PPHYM_00593	PPHYT_03162	PSART_00914	PSPRE_00038	PTERA_02855	PTERE_00605	PXENO_02989
group_1558	PAGRI_03755	PBONN_00636	PHAYL_00653	PCALE_00372	PFUNG_01072	PMEGA_06075	PPHEM_04788	PPHEX_00336	PPHYM_00373	PPHYT_00634	PSART_00696	PSPRE_02213	PTERA_00412	PTERE_00366	PXENO_01738
pmpR	PAGRI_03094	PBONN_03384	PHAYL_03476	PCALE_02329	PFUNG_00477	PMEGA_03813	PPHEM_03540	PPHEX_01059	PPHYM_02123	PPHYT_01293	PSART_01943	PSPRE_01645	PTERA_00997	PTERE_02163	PXENO_00964
group_678	PAGRI_00865	PBONN_00976	PHAYL_01006	PCALE_02593	PFUNG_02416	PMEGA_05546	PPHEM_04051	PPHEX_02802	PPHYM_00749	PPHYT_03018	PSART_01108	PSPRE_00232	PTERA_02725	PTERE_00776	PXENO_03139
ftsN	PAGRI_00249	PBONN_02809	PHAYL_02948	PCALE_00217	PFUNG_01234	PMEGA_02904	PPHEM_00258	PPHEX_00185	PPHYM_00190	PPHYT_00462	PSART_00547	PSPRE_02361	PTERA_00237	PTERE_00202	PXENO_01929
group_105	PAGRI_02354	PBONN_01450	PHAYL_01942	PCALE_01431	PFUNG_03334	PMEGA_04324	PPHEM_07375	PPHEX_01848	PPHYM_01678	PPHYT_01767	PSART_02917	PSPRE_01255	PTERA_01489	PTERE_01775	PXENO_00167
group_264	PAGRI_01101	PBONN_01343	PHAYL_02021	PCALE_02371	PFUNG_02644	PMEGA_05317	PPHEM_03804	PPHEX_02581	PPHYM_01623	PPHYT_02778	PSART_01337	PSPRE_00467	PTERA_02353	PTERE_01002	PXENO_03515
group_1113	PAGRI_04242	PBONN_00228	PHAYL_00243	PCALE_03419	PFUNG_01528	PMEGA_06621	PPHEM_00568	PPHEX_03664	PPHYM_03134	PPHYT_03946	PSART_04145	PSPRE_02630	PTERA_03608	PTERE_03165	PXENO_02198
group_30	PAGRI_00331	PBONN_01608	PHAYL_01729	PCALE_01796	PFUNG_01150	PMEGA_04731	PPHEM_04703	PPHEX_01537	PPHYM_00291	PPHYT_00546	PSART_00386	PSPRE_00833	PTERA_00319	PTERE_00281	PXENO_01842
mraY	PAGRI_03819	PBONN_00598	PHAYL_00614	PCALE_03032	PFUNG_01950	PMEGA_06133	PPHEM_05953	PPHEX_03244	PPHYM_02737	PPHYT_03492	PSART_00149	PSPRE_03052	PTERA_03169	PTERE_02757	PXENO_02666
