PAGRI_00001	K02313
PAGRI_00902	K00554
PAGRI_00903	K02884
PAGRI_00905	K02227
PAGRI_00907	K06949
PAGRI_00908	K06013
PAGRI_00909	K13288
PAGRI_00910	K03831
PAGRI_00912	K03592
PAGRI_00913	K00287
PAGRI_00917	K06992
PAGRI_00923	K00560
PAGRI_00930	K01679
PAGRI_00931	K06132
PAGRI_00932	K03453
PAGRI_00933	K03327
PAGRI_00934	K14761
PAGRI_00937	K03657
PAGRI_00942	K05805
PAGRI_00945	K05524
PAGRI_00946	K00763
PAGRI_00947	K00782
PAGRI_00949	K00090
PAGRI_00950	K09760
PAGRI_00953	K03750
PAGRI_00954	K03752
PAGRI_00955	K03639
PAGRI_00956	K08300
PAGRI_00957	K06179
PAGRI_00958	K01091
PAGRI_00960	K04773
PAGRI_00961	K07056
PAGRI_00962	K06287
PAGRI_00963	K07040
PAGRI_00964	K02911
PAGRI_00965	K03621
PAGRI_00966	K00648
PAGRI_00967	K00645
PAGRI_00968	K00059
PAGRI_00969	K02078
PAGRI_00970	K09458
PAGRI_00972	K03088
PAGRI_00973	K03597
PAGRI_00974	K03598
PAGRI_00975	K04771
PAGRI_00977	K03596
PAGRI_00978	K03100
PAGRI_00979	K03685
PAGRI_00980	K03595
PAGRI_00981	K03584
PAGRI_00982	K03474
PAGRI_00983	K00997
PAGRI_00984	K01207
PAGRI_00986	K02356
PAGRI_00988	K03703
PAGRI_00989	K08744
PAGRI_00994	K09973
PAGRI_00995	K02348
PAGRI_00996	K02351
PAGRI_00997	K09796
PAGRI_00998	K07152
PAGRI_01000	K01087
PAGRI_01001	K00697
PAGRI_01002	K06147
PAGRI_01005	K08983
PAGRI_01006	K06147
PAGRI_01008	K02342
PAGRI_01009	K03469
PAGRI_01011	K01069
PAGRI_01012	K08307
PAGRI_01014	K01956
PAGRI_01015	K01955
PAGRI_01016	K03624
PAGRI_01018	K07574
PAGRI_01019	K02427
PAGRI_01020	K03798
PAGRI_01021	K00796
PAGRI_01022	K03431
PAGRI_01023	K02040
PAGRI_01024	K02037
PAGRI_01025	K02038
PAGRI_01026	K02036
PAGRI_01027	K02039
PAGRI_01028	K07657
PAGRI_01029	K07636
PAGRI_01030	K00937
PAGRI_01031	K01524
PAGRI_01033	K08296
PAGRI_01037	K03327
PAGRI_01039	K18555
PAGRI_01044	K06153
PAGRI_01052	K00428
PAGRI_01056	K10001
PAGRI_01057	K01886
PAGRI_01058	K00681
PAGRI_01059	K07002
PAGRI_01061	K01872
PAGRI_01064	K01620
PAGRI_01065	K03426
PAGRI_01066	K07107
PAGRI_01067	K01997
PAGRI_01068	K01998
PAGRI_01069	K01995
PAGRI_01070	K01996
PAGRI_01072	K03337
PAGRI_01073	K03335
PAGRI_01074	K03336
PAGRI_01075	K03338
PAGRI_01076	K02056
PAGRI_01077	K02057
PAGRI_01078	K02058
PAGRI_01080	K00010
PAGRI_01081	K00010
PAGRI_01083	K07493
PAGRI_01084	K01873
PAGRI_01085	K00963
PAGRI_01086	K04085
PAGRI_01088	K03657
PAGRI_01089	K01243
PAGRI_01090	K01908
PAGRI_01091	K08223
PAGRI_01093	K03406
PAGRI_01095	K21695
PAGRI_01104	K03809
PAGRI_01105	K07058
PAGRI_01108	K01740
PAGRI_01111	K01736
PAGRI_01113	K00311
PAGRI_01115	K07107
PAGRI_01117	K01028
PAGRI_01118	K01029
PAGRI_01121	K00951
PAGRI_01123	K01868
PAGRI_01124	K02520
PAGRI_01125	K02916
PAGRI_01126	K02887
PAGRI_01127	K01889
PAGRI_01128	K01890
PAGRI_01129	K04764
PAGRI_01137	K03221
PAGRI_01139	K03220
PAGRI_01141	K03230
PAGRI_01147	K07315
PAGRI_01150	K04757
PAGRI_01155	K11904
PAGRI_01161	K03219
PAGRI_01163	K03229
PAGRI_01164	K03228
PAGRI_01165	K03227
PAGRI_01166	K03226
PAGRI_01170	K03224
PAGRI_01171	K03223
PAGRI_01172	K04054
PAGRI_01173	K03222
PAGRI_01174	K04053
PAGRI_01183	K20975
PAGRI_01185	K20975
PAGRI_01189	K11910
PAGRI_01190	K11901
PAGRI_01191	K11900
PAGRI_01192	K11903
PAGRI_01193	K11905
PAGRI_01194	K11896
PAGRI_01195	K11895
PAGRI_01196	K11907
PAGRI_01198	K11893
PAGRI_01199	K11892
PAGRI_01200	K11891
PAGRI_01205	K04093
PAGRI_01206	K01297
PAGRI_01208	K01993
PAGRI_01209	K01990
PAGRI_01210	K01992
PAGRI_01214	K07085
PAGRI_01217	K07516
PAGRI_01223	K05874
PAGRI_01224	K03406
PAGRI_01229	K17468
PAGRI_01231	K03299
PAGRI_01234	K15514
PAGRI_01236	K15546
PAGRI_01237	K15513
PAGRI_01238	K15512
PAGRI_01239	K15511
PAGRI_01240	K09017
PAGRI_01241	K06016
PAGRI_01242	K17722
PAGRI_01243	K17723
PAGRI_01244	K03457
PAGRI_01245	K01464
PAGRI_01246	K02424
PAGRI_01247	K10009
PAGRI_01248	K10010
PAGRI_01249	K01649
PAGRI_01256	K07287
PAGRI_01259	K03303
PAGRI_01261	K04062
PAGRI_01262	K03147
PAGRI_01263	K06140
PAGRI_01269	K00219
PAGRI_01271	K16348
PAGRI_01275	K03594
PAGRI_01276	K07689
PAGRI_01280	K03651
PAGRI_01281	K02052
PAGRI_01282	K02053
PAGRI_01283	K02053
PAGRI_01284	K02055
PAGRI_01318	K21498
PAGRI_01319	K07334
PAGRI_01321	K07451
PAGRI_01322	K07474
PAGRI_01326	K01358
PAGRI_01357	K01438
PAGRI_01360	K01556
PAGRI_01361	K03293
PAGRI_01363	K17228
PAGRI_01364	K00484
PAGRI_01366	K02510
PAGRI_01369	K00179
PAGRI_01370	K00180
PAGRI_01372	K14057
PAGRI_01374	K01434
PAGRI_01377	K04090
PAGRI_01381	K17725
PAGRI_01382	K24158
PAGRI_01384	K02014
PAGRI_01385	K03561
PAGRI_01386	K03559
PAGRI_01387	K03832
PAGRI_01389	K02483
PAGRI_01392	K07043
PAGRI_01396	K07335
PAGRI_01405	K11312
PAGRI_01409	K07095
PAGRI_01410	K03762
PAGRI_01412	K14682
PAGRI_01413	K03578
PAGRI_01414	K21449
PAGRI_01420	K01915
PAGRI_01421	K07708
PAGRI_01422	K07712
PAGRI_01423	K01322
PAGRI_01424	K01142
PAGRI_01427	K01779
PAGRI_01428	K01485
PAGRI_01429	K01414
PAGRI_01430	K01491
PAGRI_01436	K00163
PAGRI_01437	K00627
PAGRI_01438	K00382
PAGRI_01440	K07262
PAGRI_01442	K18928
PAGRI_01443	K18929
PAGRI_01446	K01104
PAGRI_01447	K13643
PAGRI_01448	K04487
PAGRI_01449	K04488
PAGRI_01450	K13628
PAGRI_01451	K04082
PAGRI_01452	K04044
PAGRI_01453	K04755
PAGRI_01456	K04567
PAGRI_01457	K02836
PAGRI_01458	K07462
PAGRI_01461	K09808
PAGRI_01462	K09810
PAGRI_01463	K03424
PAGRI_01464	K02238
PAGRI_01466	K01937
PAGRI_01467	K01627
PAGRI_01468	K01689
PAGRI_01469	K05589
PAGRI_01471	K04083
PAGRI_01475	K07053
PAGRI_01478	K01867
PAGRI_01480	K01714
PAGRI_01481	K07287
PAGRI_01483	K19416
PAGRI_01484	K00940
PAGRI_01485	K06941
PAGRI_01486	K15539
PAGRI_01487	K03526
PAGRI_01488	K01892
PAGRI_01490	K17713
PAGRI_01491	K03977
PAGRI_01492	K03666
PAGRI_01493	K03665
PAGRI_01494	K04088
PAGRI_01495	K04087
PAGRI_01496	K09937
PAGRI_01497	K02502
PAGRI_01498	K01939
PAGRI_01499	K07101
PAGRI_01500	K03549
PAGRI_01501	K06959
PAGRI_01504	K03722
PAGRI_01505	K18850
PAGRI_01506	K03775
PAGRI_01508	K03555
PAGRI_01518	K07154
PAGRI_01532	K12410
PAGRI_01534	K16898
PAGRI_01543	K06946
PAGRI_01546	K01139
PAGRI_01549	K05521
PAGRI_01550	K07452
PAGRI_01558	K01338
PAGRI_01573	K08227
PAGRI_01574	K01092
PAGRI_01575	K02533
PAGRI_01576	K00640
PAGRI_01577	K03269
PAGRI_01578	K03768
PAGRI_01579	K03767
PAGRI_01581	K01883
PAGRI_01582	K01247
PAGRI_01583	K01962
PAGRI_01584	K04075
PAGRI_01585	K00928
PAGRI_01588	K01187
PAGRI_01589	K08191
PAGRI_01592	K13893
PAGRI_01593	K13894
PAGRI_01594	K13895
PAGRI_01595	K13896
PAGRI_01597	K07001
PAGRI_01598	K01885
PAGRI_01606	K02553
PAGRI_01608	K01638
PAGRI_01609	K01560
PAGRI_01612	K01637
PAGRI_01615	K14742
PAGRI_01616	K03789
PAGRI_01617	K21929
PAGRI_01618	K09977
PAGRI_01619	K00941
PAGRI_01620	K08227
PAGRI_01621	K01775
PAGRI_01622	K04485
PAGRI_01624	K01796
PAGRI_01625	K06158
PAGRI_01626	K00432
PAGRI_01627	K06131
PAGRI_01628	K07320
PAGRI_01629	K01439
PAGRI_01631	K00674
PAGRI_01632	K14267
PAGRI_01635	K03529
PAGRI_01637	K01972
PAGRI_01638	K01462
PAGRI_01641	K00990
PAGRI_01642	K01265
PAGRI_01643	K02967
PAGRI_01644	K02357
PAGRI_01645	K09903
PAGRI_01646	K02838
PAGRI_01647	K00806
PAGRI_01648	K00981
PAGRI_01649	K00099
PAGRI_01650	K11749
PAGRI_01651	K07277
PAGRI_01652	K06142
PAGRI_01653	K02536
PAGRI_01654	K02372
PAGRI_01655	K00677
PAGRI_01656	K00748
PAGRI_01657	K03470
PAGRI_01658	K03437
PAGRI_01659	K09773
PAGRI_01660	K01007
PAGRI_01663	K03664
PAGRI_01665	K09801
PAGRI_01667	K00088
PAGRI_01669	K01951
PAGRI_01673	K01784
PAGRI_01674	K00128
PAGRI_01676	K01607
PAGRI_01680	K00128
PAGRI_01681	K01999
PAGRI_01682	K01607
PAGRI_01684	K03521
PAGRI_01685	K03522
PAGRI_01688	K07046
PAGRI_01689	K01996
PAGRI_01690	K01995
PAGRI_01691	K01998
PAGRI_01692	K01997
PAGRI_01694	K07068
PAGRI_01696	K00324
PAGRI_01697	K00324
PAGRI_01698	K00325
PAGRI_01699	K01715
PAGRI_01701	K00074
PAGRI_01702	K00074
PAGRI_01703	K01796
PAGRI_01707	K12507
PAGRI_01708	K01661
PAGRI_01710	K15866
PAGRI_01711	K13237
PAGRI_01713	K00074
PAGRI_01715	K01703
PAGRI_01716	K01704
PAGRI_01720	K00108
PAGRI_01721	K00048
PAGRI_01722	K15866
PAGRI_01727	K00014
PAGRI_01728	K07552
PAGRI_01732	K06889
PAGRI_01736	K03701
PAGRI_01743	K14657
PAGRI_01747	K12960
PAGRI_01748	K01066
PAGRI_01751	K18297
PAGRI_01755	K01486
PAGRI_01756	K07149
PAGRI_01758	K16516
PAGRI_01759	K04099
PAGRI_01761	K08195
PAGRI_01762	K10220
PAGRI_01763	K10218
PAGRI_01764	K02020
PAGRI_01772	K00249
PAGRI_01775	K01975
PAGRI_01777	K11991
PAGRI_01778	K01297
PAGRI_01780	K03457
PAGRI_01781	K16841
PAGRI_01782	K16842
PAGRI_01783	K13485
PAGRI_01784	K01477
PAGRI_01785	K01483
PAGRI_01788	K07127
PAGRI_01791	K23537
PAGRI_01792	K23535
PAGRI_01793	K23536
PAGRI_01794	K07335
PAGRI_01795	K09165
PAGRI_01803	K00459
PAGRI_01804	K07275
PAGRI_01805	K06938
PAGRI_01807	K11073
PAGRI_01808	K11076
PAGRI_01809	K11075
PAGRI_01810	K11074
PAGRI_01812	K03406
PAGRI_01816	K22105
PAGRI_01818	K03969
PAGRI_01821	K05366
PAGRI_01822	K02517
PAGRI_01823	K07486
PAGRI_01825	K18303
PAGRI_01826	K18302
PAGRI_01835	K03281
PAGRI_01836	K00799
PAGRI_01840	K00874
PAGRI_01842	K00090
PAGRI_01843	K02525
PAGRI_01852	K00424
PAGRI_01854	K03284
PAGRI_01855	K10439
PAGRI_01858	K10440
PAGRI_01859	K02529
PAGRI_01860	K05874
PAGRI_01861	K02554
PAGRI_01862	K07180
PAGRI_01863	K09786
PAGRI_01864	K06415
PAGRI_01865	K07493
PAGRI_01866	K03761
PAGRI_01868	K02030
PAGRI_01869	K02029
PAGRI_01870	K02029
PAGRI_01872	K02051
PAGRI_01874	K02049
PAGRI_01875	K02050
PAGRI_01877	K07493
PAGRI_01884	K17737
PAGRI_01885	K01239
PAGRI_01887	K00384
PAGRI_01896	K14205
PAGRI_01898	K01754
PAGRI_01899	K00481
PAGRI_01905	K22303
PAGRI_01906	K19333
PAGRI_01907	K00065
PAGRI_01909	K01815
PAGRI_01910	K02526
PAGRI_01911	K22479
PAGRI_01912	K00135
PAGRI_01913	K03704
PAGRI_01914	K15555
PAGRI_01915	K15554
PAGRI_01916	K15553
PAGRI_01918	K00720
PAGRI_01920	K07645
PAGRI_01921	K07666
PAGRI_01923	K00720
PAGRI_01924	K03478
PAGRI_01927	K07497
PAGRI_01930	K15725
PAGRI_01931	K07666
PAGRI_01932	K02484
PAGRI_01933	K03607
PAGRI_01937	K01426
PAGRI_01938	K03762
PAGRI_01939	K14057
PAGRI_01940	K00484
PAGRI_01942	K00059
PAGRI_01943	K01426
PAGRI_01946	K22027
PAGRI_01947	K14986
PAGRI_01953	K08369
PAGRI_01955	K21757
PAGRI_01956	K01856
PAGRI_01957	K03381
PAGRI_01958	K03464
PAGRI_01959	K03863
PAGRI_01961	K07090
PAGRI_01966	K00059
PAGRI_01967	K21703
PAGRI_01968	K03430
PAGRI_01972	K07335
PAGRI_01975	K00799
PAGRI_01981	K06988
PAGRI_01984	K15228
PAGRI_01987	K15229
PAGRI_01988	K04033
PAGRI_01991	K07003
