PFUNG_00005	K06916
PFUNG_00849	K07735
PFUNG_00852	K00941
PFUNG_00853	K00860
PFUNG_00854	K04077
PFUNG_00855	K04078
PFUNG_00862	K07152
PFUNG_00863	K04618
PFUNG_00864	K02305
PFUNG_00874	K03818
PFUNG_00876	K03208
PFUNG_00878	K02377
PFUNG_00879	K01711
PFUNG_00880	K16692
PFUNG_00881	K01991
PFUNG_00882	K03606
PFUNG_00883	K16011
PFUNG_00887	K03207
PFUNG_00893	K04033
PFUNG_00895	K08369
PFUNG_00897	K01640
PFUNG_00900	K07090
PFUNG_00907	K07402
PFUNG_00908	K13482
PFUNG_00909	K13481
PFUNG_00912	K07497
PFUNG_00913	K00830
PFUNG_00914	K09758
PFUNG_00915	K07085
PFUNG_00916	K07085
PFUNG_00917	K03778
PFUNG_00919	K01692
PFUNG_00920	K19577
PFUNG_00922	K01555
PFUNG_00923	K00451
PFUNG_00924	K08195
PFUNG_00927	K00252
PFUNG_00928	K24158
PFUNG_00932	K02655
PFUNG_00934	K02672
PFUNG_00936	K08084
PFUNG_00937	K07738
PFUNG_00938	K00600
PFUNG_00939	K16066
PFUNG_00940	K07107
PFUNG_00941	K03562
PFUNG_00942	K03560
PFUNG_00943	K03646
PFUNG_00944	K03641
PFUNG_00945	K03640
PFUNG_00950	K03442
PFUNG_00952	K03975
PFUNG_00953	K03572
PFUNG_00954	K00791
PFUNG_00955	K01933
PFUNG_00957	K10763
PFUNG_00959	K00970
PFUNG_00960	K00950
PFUNG_00961	K15518
PFUNG_00962	K00606
PFUNG_00963	K03342
PFUNG_00964	K03686
PFUNG_00965	K04043
PFUNG_00967	K03687
PFUNG_00968	K04762
PFUNG_00969	K01772
PFUNG_00970	K03705
PFUNG_00971	K00858
PFUNG_00972	K03631
PFUNG_00973	K00982
PFUNG_00975	K11206
PFUNG_00976	K03568
PFUNG_00977	K01626
PFUNG_00980	K05916
PFUNG_00981	K00798
PFUNG_00982	K00102
PFUNG_00983	K00104
PFUNG_00984	K11472
PFUNG_00985	K11473
PFUNG_00986	K06997
PFUNG_00987	K00286
PFUNG_00988	K03179
PFUNG_00989	K07326
PFUNG_00991	K04047
PFUNG_00993	K03781
PFUNG_00995	K04761
PFUNG_00996	K03655
PFUNG_00997	K07568
PFUNG_00998	K00773
PFUNG_00999	K03210
PFUNG_01000	K03072
PFUNG_01001	K03074
PFUNG_01002	K03762
PFUNG_01006	K03808
PFUNG_01007	K03808
PFUNG_01008	K06192
PFUNG_01009	K09857
PFUNG_01011	K07444
PFUNG_01012	K06996
PFUNG_01014	K00325
PFUNG_01015	K00324
PFUNG_01016	K00324
PFUNG_01018	K00566
PFUNG_01021	K01878
PFUNG_01022	K01879
PFUNG_01023	K03273
PFUNG_01024	K00655
PFUNG_01027	K01759
PFUNG_01028	K01897
PFUNG_01035	K02528
PFUNG_01036	K00097
PFUNG_01037	K03771
PFUNG_01038	K04744
PFUNG_01039	K07102
PFUNG_01040	K00992
PFUNG_01041	K06147
PFUNG_01042	K10806
PFUNG_01044	K03566
PFUNG_01051	K02379
PFUNG_01053	K00632
PFUNG_01054	K07516
PFUNG_01058	K06131
PFUNG_01059	K08310
PFUNG_01060	K01876
PFUNG_01064	K03688
PFUNG_01065	K03690
PFUNG_01067	K03183
PFUNG_01071	K01754
PFUNG_01072	K01081
PFUNG_01073	K06879
PFUNG_01075	K06015
PFUNG_01077	K01753
PFUNG_01081	K14731
PFUNG_01086	K06188
PFUNG_01087	K07687
PFUNG_01088	K07687
PFUNG_01089	K07687
PFUNG_01093	K05874
PFUNG_01096	K03111
PFUNG_01098	K03701
PFUNG_01100	K02014
PFUNG_01102	K01433
PFUNG_01105	K00759
PFUNG_01106	K03455
PFUNG_01107	K06041
PFUNG_01108	K03270
PFUNG_01109	K11719
PFUNG_01110	K09774
PFUNG_01111	K06861
PFUNG_01112	K03092
PFUNG_01113	K05808
PFUNG_01114	K02806
PFUNG_01115	K06023
PFUNG_01116	K06958
PFUNG_01117	K07157
PFUNG_01118	K03575
PFUNG_01119	K10563
PFUNG_01121	K02494
PFUNG_01122	K00919
PFUNG_01124	K00948
PFUNG_01125	K02897
PFUNG_01126	K01056
PFUNG_01127	K00817
PFUNG_01129	K00954
PFUNG_01130	K08316
PFUNG_01131	K03110
PFUNG_01133	K16165
PFUNG_01135	K01649
PFUNG_01137	K12976
PFUNG_01138	K03089
PFUNG_01140	K00425
PFUNG_01141	K00426
PFUNG_01142	K00424
PFUNG_01143	K02804
PFUNG_01144	K23993
PFUNG_01145	K00820
PFUNG_01146	K01443
PFUNG_01147	K03710
PFUNG_01149	K02073
PFUNG_01150	K03406
PFUNG_01152	K07152
PFUNG_01153	K02257
PFUNG_01154	K02259
PFUNG_01156	K14998
PFUNG_01158	K02276
PFUNG_01160	K02258
PFUNG_01161	K02274
PFUNG_01162	K02275
PFUNG_01164	K02169
PFUNG_01166	K03216
PFUNG_01167	K23518
PFUNG_01168	K00057
PFUNG_01169	K03071
PFUNG_01170	K03676
PFUNG_01172	K01834
PFUNG_01173	K03797
PFUNG_01174	K21029
PFUNG_01175	K08483
PFUNG_01176	K02784
PFUNG_01177	K02793
PFUNG_01178	K01920
PFUNG_01179	K01919
PFUNG_01180	K03320
PFUNG_01181	K04752
PFUNG_01182	K09806
PFUNG_01183	K07391
PFUNG_01184	K12678
PFUNG_01187	K10126
PFUNG_01188	K10125
PFUNG_01189	K11103
PFUNG_01190	K02052
PFUNG_01191	K02053
PFUNG_01192	K02054
PFUNG_01193	K02055
PFUNG_01194	K01126
PFUNG_01196	K03436
PFUNG_01197	K03324
PFUNG_01199	K15552
PFUNG_01200	K10831
PFUNG_01201	K15551
PFUNG_01202	K03644
PFUNG_01203	K03801
PFUNG_01205	K03566
PFUNG_01206	K09158
PFUNG_01207	K00824
PFUNG_01208	K07258
PFUNG_01209	K07018
PFUNG_01212	K18480
PFUNG_01213	K02067
PFUNG_01214	K02065
PFUNG_01215	K02066
PFUNG_01216	K03524
PFUNG_01217	K03525
PFUNG_01219	K21345
PFUNG_01222	K01692
PFUNG_01223	K01999
PFUNG_01224	K16171
PFUNG_01229	K00548
PFUNG_01230	K00548
PFUNG_01233	K01887
PFUNG_01235	K03673
PFUNG_01237	K12368
PFUNG_01240	K00906
PFUNG_01241	K01673
PFUNG_01242	K00626
PFUNG_01244	K00248
PFUNG_01245	K09858
PFUNG_01247	K00833
PFUNG_01248	K00652
PFUNG_01249	K01935
PFUNG_01250	K01012
PFUNG_01251	K02048
PFUNG_01252	K07002
PFUNG_01253	K12972
PFUNG_01254	K01640
PFUNG_01256	K06938
PFUNG_01260	K03719
PFUNG_01261	K01561
PFUNG_01262	K00459
PFUNG_01267	K14347
PFUNG_01271	K00847
PFUNG_01274	K08715
PFUNG_01276	K01458
PFUNG_01277	K19333
PFUNG_01279	K04090
PFUNG_01280	K06201
PFUNG_01282	K24163
PFUNG_01283	K09016
PFUNG_01284	K03406
PFUNG_01285	K09965
PFUNG_01291	K05874
PFUNG_01292	K07303
PFUNG_01293	K07302
PFUNG_01296	K08738
PFUNG_01298	K03271
PFUNG_01299	K07460
PFUNG_01300	K07056
PFUNG_01301	K03642
PFUNG_01302	K01069
PFUNG_01304	K03719
PFUNG_01306	K03746
PFUNG_01307	K07226
PFUNG_01310	K10277
PFUNG_01311	K01999
PFUNG_01312	K01061
PFUNG_01313	K01426
PFUNG_01316	K01338
PFUNG_01319	K01785
PFUNG_01320	K02529
PFUNG_01321	K23508
PFUNG_01322	K10820
PFUNG_01323	K23509
PFUNG_01324	K23509
PFUNG_01326	K00528
PFUNG_01328	K07689
PFUNG_01329	K03294
PFUNG_01331	K03518
PFUNG_01332	K03520
PFUNG_01333	K03519
PFUNG_01335	K07161
PFUNG_01336	K09386
PFUNG_01337	K07402
PFUNG_01338	K07493
PFUNG_01339	K09939
PFUNG_01343	K08224
PFUNG_01345	K19265
PFUNG_01347	K00477
PFUNG_01349	K00789
PFUNG_01350	K02517
PFUNG_01351	K01778
PFUNG_01352	K09921
PFUNG_01353	K03733
PFUNG_01354	K06969
PFUNG_01356	K06204
PFUNG_01357	K01419
PFUNG_01358	K03667
PFUNG_01359	K15012
PFUNG_01360	K15011
PFUNG_01362	K00930
PFUNG_01363	K07025
PFUNG_01364	K05501
PFUNG_01365	K00641
PFUNG_01367	K08218
PFUNG_01369	K01142
PFUNG_01371	K02434
PFUNG_01372	K02433
PFUNG_01373	K02435
PFUNG_01374	K03569
PFUNG_01375	K03570
PFUNG_01376	K03571
PFUNG_01377	K05515
PFUNG_01378	K05837
PFUNG_01379	K07126
PFUNG_01382	K01737
PFUNG_01383	K10026
PFUNG_01384	K06920
PFUNG_01389	K03500
PFUNG_01390	K03799
PFUNG_01392	K00604
PFUNG_01393	K01462
PFUNG_01394	K04096
PFUNG_01395	K03671
PFUNG_01396	K03169
PFUNG_01398	K01596
PFUNG_01399	K00058
PFUNG_01403	K07039
PFUNG_01408	K10013
PFUNG_01409	K14287
PFUNG_01410	K05591
PFUNG_01413	K01534
PFUNG_01414	K04033
PFUNG_01415	K00138
PFUNG_01416	K09959
PFUNG_01417	K03736
PFUNG_01418	K03735
PFUNG_01419	K16238
PFUNG_01420	K13652
PFUNG_01421	K00986
PFUNG_01424	K03497
PFUNG_01428	K11904
PFUNG_01430	K13444
PFUNG_01452	K07497
PFUNG_01462	K02470
PFUNG_01463	K02338
PFUNG_01464	K02313
PFUNG_01465	K02914
PFUNG_01466	K03536
PFUNG_01467	K03217
PFUNG_01469	K03650
PFUNG_01473	K13487
PFUNG_01474	K13488
PFUNG_01475	K13486
PFUNG_01476	K13489
PFUNG_01477	K13490
PFUNG_01478	K13491
PFUNG_01479	K11444
PFUNG_01480	K02503
PFUNG_01482	K00657
PFUNG_01484	K13875
PFUNG_01485	K10538
PFUNG_01486	K10539
PFUNG_01487	K10537
PFUNG_01488	K22187
PFUNG_01491	K08234
PFUNG_01492	K10778
PFUNG_01493	K13529
PFUNG_01494	K01919
PFUNG_01496	K03446
PFUNG_01500	K02463
PFUNG_01501	K02462
PFUNG_01502	K02461
PFUNG_01503	K02460
PFUNG_01504	K02459
PFUNG_01505	K02458
PFUNG_01506	K02457
PFUNG_01507	K02456
PFUNG_01508	K02452
PFUNG_01509	K02455
PFUNG_01510	K02454
PFUNG_01511	K02453
PFUNG_01514	K03530
PFUNG_01515	K15461
PFUNG_01517	K06048
PFUNG_01519	K01951
PFUNG_01521	K07117
PFUNG_01522	K07649
PFUNG_01523	K02483
PFUNG_01525	K01724
PFUNG_01526	K00500
PFUNG_01527	K03719
PFUNG_01530	K00140
PFUNG_01531	K00108
PFUNG_01532	K01995
PFUNG_01533	K01996
PFUNG_01534	K01999
PFUNG_01535	K01997
PFUNG_01536	K01998
PFUNG_01537	K01999
PFUNG_01538	K01999
PFUNG_01539	K01997
PFUNG_01540	K01995
PFUNG_01540	K01998
PFUNG_01541	K01996
PFUNG_01542	K03495
PFUNG_01543	K03501
PFUNG_01544	K03496
PFUNG_01545	K03497
PFUNG_01546	K02116
PFUNG_01547	K02108
PFUNG_01548	K02110
PFUNG_01549	K02109
PFUNG_01550	K02113
PFUNG_01551	K02111
PFUNG_01552	K02115
PFUNG_01553	K02112
PFUNG_01554	K02114
PFUNG_01555	K00666
PFUNG_01556	K01713
PFUNG_01557	K01599
PFUNG_01558	K04066
PFUNG_01562	K13821
PFUNG_01563	K01999
PFUNG_01564	K06137
PFUNG_01566	K01652
PFUNG_01567	K01752
PFUNG_01569	K00281
PFUNG_01570	K02437
PFUNG_01571	K00605
PFUNG_01574	K03656
PFUNG_01591	K00648
PFUNG_01592	K02078
PFUNG_01593	K00648
PFUNG_01595	K09667
PFUNG_01597	K02407
PFUNG_01598	K02406
PFUNG_01600	K02970
PFUNG_01602	K01246
PFUNG_01603	K18676
PFUNG_01607	K06188
PFUNG_01608	K03746
PFUNG_01610	K02403
PFUNG_01611	K02402
PFUNG_01612	K02556
PFUNG_01613	K02557
PFUNG_01614	K03413
PFUNG_01615	K03407
PFUNG_01616	K03408
PFUNG_01617	K05874
PFUNG_01618	K00575
PFUNG_01619	K03411
PFUNG_01620	K03412
PFUNG_01621	K03413
PFUNG_01622	K03414
PFUNG_01625	K02401
PFUNG_01626	K02400
PFUNG_01627	K02404
PFUNG_01628	K04562
PFUNG_01629	K02405
PFUNG_01632	K02399
PFUNG_01633	K02398
PFUNG_01634	K02386
PFUNG_01635	K02387
PFUNG_01636	K02388
PFUNG_01637	K02389
PFUNG_01638	K02390
PFUNG_01639	K02391
PFUNG_01640	K02392
PFUNG_01641	K02393
PFUNG_01642	K02394
PFUNG_01643	K02395
PFUNG_01644	K21087
PFUNG_01645	K02396
PFUNG_01646	K02397
PFUNG_01647	K02421
PFUNG_01648	K02420
PFUNG_01649	K02419
PFUNG_01650	K02418
PFUNG_01651	K02417
PFUNG_01652	K02416
PFUNG_01653	K02415
PFUNG_01654	K02414
PFUNG_01655	K02413
PFUNG_01656	K02412
PFUNG_01657	K02411
PFUNG_01658	K02410
PFUNG_01659	K02409
PFUNG_01660	K02408
PFUNG_01661	K02422
PFUNG_01662	K02423
PFUNG_01664	K04061
PFUNG_01665	K00154
PFUNG_01666	K09456
PFUNG_01668	K03286
PFUNG_01671	K01251
PFUNG_01672	K08972
PFUNG_01673	K00297
PFUNG_01674	K12368
PFUNG_01675	K12368
PFUNG_01676	K12369
PFUNG_01677	K12370
PFUNG_01678	K12371
PFUNG_01679	K12372
PFUNG_01680	K09973
PFUNG_01684	K07160
PFUNG_01685	K23124
PFUNG_01686	K23123
PFUNG_01688	K01934
PFUNG_01689	K08309
PFUNG_01691	K00799
PFUNG_01692	K00974
PFUNG_01694	K07493
PFUNG_01696	K07497
PFUNG_01700	K01633
PFUNG_01701	K14058
PFUNG_01702	K04042
PFUNG_01703	K00820
PFUNG_01707	K00799
PFUNG_01709	K21302
PFUNG_01710	K00428
PFUNG_01716	K02483
PFUNG_01717	K07274
PFUNG_01719	K02624
PFUNG_01722	K09122
PFUNG_01725	K07275
PFUNG_01728	K00145
PFUNG_01729	K03809
PFUNG_01731	K07687
PFUNG_01732	K00762
PFUNG_01734	K00029
PFUNG_01735	K04090
PFUNG_01737	K00457
PFUNG_01738	K03719
PFUNG_01742	K02613
PFUNG_01743	K02612
PFUNG_01744	K02611
PFUNG_01745	K02610
PFUNG_01746	K02609
PFUNG_01747	K07137
PFUNG_01757	K02358
PFUNG_01759	K03073
PFUNG_01760	K02601
PFUNG_01761	K02867
PFUNG_01762	K02863
PFUNG_01763	K02864
PFUNG_01764	K02935
PFUNG_01765	K03043
PFUNG_01766	K03046
PFUNG_01767	K03654
PFUNG_01768	K02950
PFUNG_01769	K02992
PFUNG_01770	K02355
PFUNG_01771	K02358
PFUNG_01772	K02946
PFUNG_01773	K02906
PFUNG_01774	K02926
PFUNG_01775	K02892
PFUNG_01776	K02886
PFUNG_01777	K02965
PFUNG_01778	K02890
PFUNG_01779	K02982
PFUNG_01780	K02878
PFUNG_01781	K02904
PFUNG_01782	K02961
PFUNG_01783	K02874
PFUNG_01784	K02895
PFUNG_01785	K02931
PFUNG_01786	K02954
PFUNG_01787	K02994
PFUNG_01788	K02933
PFUNG_01789	K02881
PFUNG_01790	K02988
PFUNG_01791	K02907
PFUNG_01792	K02876
PFUNG_01793	K03076
PFUNG_01794	K02518
PFUNG_01795	K02952
PFUNG_01796	K02948
PFUNG_01797	K02986
PFUNG_01798	K03040
PFUNG_01799	K02879
PFUNG_01800	K03926
PFUNG_01801	K04084
PFUNG_01802	K01698
PFUNG_01803	K03978
PFUNG_01805	K07399
PFUNG_01807	K07147
PFUNG_01808	K17247
PFUNG_01809	K01586
PFUNG_01811	K06202
PFUNG_01812	K05366
PFUNG_01816	K02666
PFUNG_01817	K00891
PFUNG_01818	K01735
PFUNG_01819	K01129
PFUNG_01821	K07275
PFUNG_01822	K07491
PFUNG_01823	K00265
PFUNG_01824	K00266
PFUNG_01825	K00285
PFUNG_01827	K01104
PFUNG_01828	K07638
PFUNG_01829	K07659
PFUNG_01834	K02393
PFUNG_01835	K07659
PFUNG_01838	K00059
PFUNG_01839	K02471
PFUNG_01840	K03153
PFUNG_01841	K03154
