PTERE_00001	K02313
PTERE_00145	K17763
PTERE_00146	K17762
PTERE_00147	K17752
PTERE_00152	K09965
PTERE_00153	K03406
PTERE_00154	K09016
PTERE_00155	K24163
PTERE_00157	K06201
PTERE_00158	K04090
PTERE_00159	K00799
PTERE_00160	K08715
PTERE_00163	K00847
PTERE_00167	K14347
PTERE_00171	K11942
PTERE_00172	K00459
PTERE_00173	K01561
PTERE_00174	K03719
PTERE_00177	K17865
PTERE_00178	K06938
PTERE_00180	K01640
PTERE_00181	K12972
PTERE_00182	K07002
PTERE_00184	K02048
PTERE_00185	K01012
PTERE_00186	K01935
PTERE_00187	K00652
PTERE_00188	K00833
PTERE_00190	K09858
PTERE_00191	K00248
PTERE_00193	K00626
PTERE_00194	K01673
PTERE_00195	K00906
PTERE_00198	K12368
PTERE_00201	K03673
PTERE_00203	K01887
PTERE_00206	K00548
PTERE_00207	K00548
PTERE_00209	K01055
PTERE_00212	K16171
PTERE_00213	K01999
PTERE_00214	K01692
PTERE_00217	K21345
PTERE_00219	K03525
PTERE_00220	K03524
PTERE_00221	K02066
PTERE_00222	K02065
PTERE_00223	K02067
PTERE_00224	K18480
PTERE_00227	K07018
PTERE_00229	K07258
PTERE_00230	K09158
PTERE_00231	K03566
PTERE_00233	K03801
PTERE_00234	K03644
PTERE_00235	K03324
PTERE_00236	K03436
PTERE_00237	K01126
PTERE_00238	K02055
PTERE_00239	K02054
PTERE_00240	K02053
PTERE_00241	K02052
PTERE_00242	K11103
PTERE_00243	K10125
PTERE_00244	K10126
PTERE_00247	K07391
PTERE_00248	K09806
PTERE_00249	K04752
PTERE_00250	K03320
PTERE_00251	K01919
PTERE_00252	K01920
PTERE_00253	K02793
PTERE_00254	K02784
PTERE_00255	K08483
PTERE_00256	K21029
PTERE_00257	K03797
PTERE_00258	K01834
PTERE_00260	K03676
PTERE_00261	K03071
PTERE_00262	K00057
PTERE_00263	K23518
PTERE_00264	K03216
PTERE_00266	K02169
PTERE_00268	K02275
PTERE_00269	K02274
PTERE_00271	K02258
PTERE_00273	K02276
PTERE_00275	K14998
PTERE_00277	K02259
PTERE_00278	K02257
PTERE_00279	K07152
PTERE_00281	K03406
PTERE_00283	K02073
PTERE_00285	K03710
PTERE_00286	K01443
PTERE_00287	K00820
PTERE_00288	K23993
PTERE_00289	K02804
PTERE_00290	K00424
PTERE_00291	K00426
PTERE_00292	K00425
PTERE_00294	K03089
PTERE_00295	K12976
PTERE_00297	K01649
PTERE_00300	K16165
PTERE_00302	K03110
PTERE_00303	K08316
PTERE_00304	K00954
PTERE_00306	K00817
PTERE_00307	K01056
PTERE_00308	K02897
PTERE_00309	K00948
PTERE_00311	K00919
PTERE_00312	K02494
PTERE_00314	K10563
PTERE_00315	K03575
PTERE_00316	K07157
PTERE_00317	K06958
PTERE_00318	K06023
PTERE_00319	K02806
PTERE_00320	K05808
PTERE_00321	K03092
PTERE_00322	K06861
PTERE_00323	K09774
PTERE_00324	K11719
PTERE_00325	K03270
PTERE_00326	K06041
PTERE_00327	K03455
PTERE_00328	K00759
PTERE_00331	K01433
PTERE_00334	K03701
PTERE_00336	K03111
PTERE_00337	K00059
PTERE_00340	K05874
PTERE_00344	K02274
PTERE_00345	K02275
PTERE_00351	K07687
PTERE_00352	K07687
PTERE_00353	K07687
PTERE_00354	K06188
PTERE_00357	K14731
PTERE_00361	K01753
PTERE_00363	K06015
PTERE_00365	K06879
PTERE_00366	K01081
PTERE_00367	K01754
PTERE_00371	K03183
PTERE_00373	K03690
PTERE_00374	K03688
PTERE_00378	K01876
PTERE_00379	K08310
PTERE_00380	K06131
PTERE_00383	K07516
PTERE_00384	K00632
PTERE_00386	K02379
PTERE_00389	K10806
PTERE_00390	K06147
PTERE_00391	K07493
PTERE_00392	K00992
PTERE_00393	K07102
PTERE_00394	K04744
PTERE_00395	K03771
PTERE_00396	K00097
PTERE_00397	K02528
PTERE_00399	K01759
PTERE_00401	K00655
PTERE_00402	K03273
PTERE_00403	K01879
PTERE_00404	K01878
PTERE_00405	K03820
PTERE_00406	K06189
PTERE_00407	K07232
PTERE_00408	K07042
PTERE_00409	K06217
PTERE_00410	K06168
PTERE_00413	K19577
PTERE_00415	K02858
PTERE_00416	K07493
PTERE_00418	K00864
PTERE_00419	K00111
PTERE_00422	K02444
PTERE_00425	K11927
PTERE_00426	K11068
PTERE_00429	K07156
PTERE_00430	K07245
PTERE_00432	K01684
PTERE_00434	K03446
PTERE_00438	K07649
PTERE_00439	K02483
PTERE_00440	K03553
PTERE_00441	K03565
PTERE_00443	K01903
PTERE_00444	K01902
PTERE_00446	K02650
PTERE_00448	K03637
PTERE_00449	K01423
PTERE_00451	K07019
PTERE_00453	K02843
PTERE_00455	K00826
PTERE_00458	K00927
PTERE_00459	K00873
PTERE_00460	K01624
PTERE_00461	K01923
PTERE_00462	K01588
PTERE_00463	K01589
PTERE_00464	K07566
PTERE_00467	K07259
PTERE_00468	K07666
PTERE_00470	K04771
PTERE_00473	K09386
PTERE_00476	K03577
PTERE_00477	K03585
PTERE_00478	K18138
PTERE_00479	K18139
PTERE_00482	K24206
PTERE_00483	K00854
PTERE_00484	K00121
PTERE_00485	K01070
PTERE_00486	K02075
PTERE_00487	K02074
PTERE_00488	K02077
PTERE_00489	K09823
PTERE_00491	K10227
PTERE_00492	K10228
PTERE_00493	K10229
PTERE_00495	K10111
PTERE_00498	K00854
PTERE_00499	K00007
PTERE_00502	K10439
PTERE_00503	K10441
PTERE_00504	K10440
PTERE_00505	K23271
PTERE_00506	K00854
PTERE_00507	K03331
PTERE_00508	K00453
PTERE_00509	K01556
PTERE_00510	K07130
PTERE_00511	K03719
PTERE_00512	K23470
PTERE_00513	K07304
PTERE_00515	K00574
PTERE_00516	K00275
PTERE_00517	K22132
PTERE_00518	K05838
PTERE_00520	K15268
PTERE_00522	K01448
PTERE_00523	K06925
PTERE_00524	K18979
PTERE_00525	K00567
PTERE_00526	K04763
PTERE_00527	K01897
PTERE_00529	K08591
PTERE_00530	K09767
PTERE_00531	K00075
PTERE_00532	K00611
PTERE_00534	K02968
PTERE_00535	K03980
PTERE_00538	K00939
PTERE_00539	K00979
PTERE_00540	K09791
PTERE_00541	K00912
PTERE_00542	K03601
PTERE_00543	K04564
PTERE_00544	K01796
PTERE_00545	K03521
PTERE_00546	K03522
PTERE_00547	K00059
PTERE_00550	K08764
PTERE_00551	K00249
PTERE_00552	K12508
PTERE_00553	K03556
PTERE_00556	K00128
PTERE_00557	K03119
PTERE_00559	K00311
PTERE_00563	K01358
PTERE_00569	K01647
PTERE_00571	K03710
PTERE_00575	K02031
PTERE_00575	K02032
PTERE_00576	K02034
PTERE_00577	K02033
PTERE_00578	K02035
PTERE_00579	K07241
PTERE_00581	K02355
PTERE_00582	K09005
PTERE_00583	K06181
PTERE_00584	K00031
PTERE_00587	K03704
PTERE_00588	K06891
PTERE_00589	K03694
PTERE_00590	K01520
PTERE_00592	K13038
PTERE_00593	K03101
PTERE_00594	K01870
PTERE_00595	K11753
PTERE_00596	K11175
PTERE_00597	K03500
PTERE_00599	K00507
PTERE_00600	K03517
PTERE_00601	K00767
PTERE_00602	K00278
PTERE_00603	K02913
PTERE_00604	K02902
PTERE_00605	K03630
PTERE_00606	K03774
PTERE_00607	K03527
PTERE_00608	K01999
PTERE_00609	K01997
PTERE_00610	K01998
PTERE_00611	K01995
PTERE_00612	K01996
PTERE_00614	K00821
PTERE_00615	K00523
PTERE_00618	K06183
PTERE_00619	K02000
PTERE_00620	K02001
PTERE_00621	K02002
PTERE_00626	K11734
PTERE_00628	K02495
PTERE_00629	K06940
PTERE_00631	K06153
PTERE_00632	K03439
PTERE_00634	K02221
PTERE_00639	K06895
PTERE_00640	K03182
PTERE_00643	K03625
PTERE_00644	K00794
PTERE_00645	K14652
PTERE_00646	K00793
PTERE_00647	K11752
PTERE_00648	K01845
PTERE_00650	K07552
PTERE_00651	K00845
PTERE_00652	K01057
PTERE_00653	K00036
PTERE_00654	K17315
PTERE_00655	K17316
PTERE_00656	K17317
PTERE_00657	K10112
PTERE_00661	K00384
PTERE_00662	K03466
PTERE_00663	K03634
PTERE_00664	K21699
PTERE_00665	K12255
PTERE_00667	K03457
PTERE_00668	K07478
PTERE_00669	K01875
PTERE_00673	K14986
PTERE_00678	K03585
PTERE_00679	K18138
PTERE_00680	K18139
PTERE_00681	K03808
PTERE_00682	K06192
PTERE_00683	K09857
PTERE_00684	K01265
PTERE_00686	K03610
PTERE_00687	K03609
PTERE_00688	K03608
PTERE_00692	K02841
PTERE_00695	K03832
PTERE_00699	K02428
PTERE_00700	K00989
PTERE_00702	K00942
PTERE_00703	K03060
PTERE_00704	K01139
PTERE_00708	K04760
PTERE_00711	K03704
PTERE_00712	K02342
PTERE_00713	K04093
PTERE_00716	K02014
PTERE_00720	K18702
PTERE_00723	K03841
PTERE_00724	K21498
PTERE_00725	K07334
PTERE_00726	K01256
PTERE_00728	K23541
PTERE_00731	K02078
PTERE_00732	K02078
PTERE_00736	K01745
PTERE_00737	K07107
PTERE_00740	K00647
PTERE_00742	K00059
PTERE_00743	K09458
PTERE_00744	K00647
PTERE_00749	K01487
PTERE_00750	K21053
PTERE_00751	K07402
PTERE_00752	K13482
PTERE_00753	K13481
PTERE_00754	K03611
PTERE_00755	K02433
PTERE_00756	K03455
PTERE_00757	K07010
PTERE_00761	K03288
PTERE_00763	K21903
PTERE_00764	K16264
PTERE_00766	K00126
PTERE_00767	K00123
PTERE_00768	K00124
PTERE_00769	K00127
PTERE_00776	K22292
PTERE_00777	K00568
PTERE_00778	K03286
PTERE_00779	K02469
PTERE_00780	K09924
PTERE_00781	K00831
PTERE_00782	K14170
PTERE_00783	K00817
PTERE_00784	K04517
PTERE_00785	K00800
PTERE_00786	K00945
PTERE_00787	K02945
PTERE_00788	K05788
PTERE_00789	K08992
PTERE_00790	K19804
PTERE_00791	K00012
PTERE_00792	K21344
PTERE_00793	K03274
PTERE_00794	K02237
PTERE_00795	K12339
PTERE_00796	K08305
PTERE_00800	K01054
PTERE_00801	K02071
PTERE_00802	K02072
PTERE_00803	K02073
PTERE_00804	K03521
PTERE_00805	K03522
PTERE_00806	K20035
PTERE_00807	K00285
PTERE_00808	K03719
PTERE_00812	K02959
PTERE_00813	K02860
PTERE_00814	K00554
PTERE_00815	K02884
PTERE_00817	K02227
PTERE_00819	K06949
PTERE_00820	K06013
PTERE_00821	K13288
PTERE_00822	K03831
PTERE_00823	K09889
PTERE_00824	K03592
PTERE_00825	K00287
PTERE_00829	K06992
PTERE_00835	K00560
PTERE_00842	K01679
PTERE_00843	K06132
PTERE_00844	K03453
PTERE_00845	K03327
PTERE_00846	K14761
PTERE_00849	K03657
PTERE_00854	K05805
PTERE_00857	K05524
PTERE_00858	K00763
PTERE_00859	K00782
PTERE_00861	K00090
PTERE_00862	K09760
PTERE_00865	K03750
PTERE_00866	K03752
PTERE_00867	K03639
PTERE_00868	K08300
PTERE_00870	K06179
PTERE_00871	K01091
PTERE_00873	K04773
PTERE_00874	K07056
PTERE_00875	K06287
PTERE_00876	K07040
PTERE_00877	K02911
PTERE_00878	K03621
PTERE_00879	K00648
PTERE_00880	K00645
PTERE_00881	K00059
PTERE_00882	K02078
PTERE_00883	K09458
PTERE_00885	K03088
PTERE_00886	K03597
PTERE_00887	K03598
PTERE_00888	K04771
PTERE_00890	K03596
PTERE_00891	K03100
PTERE_00892	K03685
PTERE_00893	K03595
PTERE_00894	K03584
PTERE_00895	K03474
PTERE_00896	K00997
PTERE_00897	K01207
PTERE_00900	K02356
PTERE_00902	K03703
PTERE_00903	K08744
PTERE_00907	K02348
PTERE_00908	K02351
PTERE_00909	K09796
PTERE_00910	K07152
PTERE_00912	K01087
PTERE_00913	K00697
PTERE_00914	K06147
PTERE_00917	K08983
PTERE_00919	K02342
PTERE_00920	K03469
PTERE_00922	K01069
PTERE_00923	K08307
PTERE_00925	K01956
PTERE_00926	K01955
PTERE_00927	K03624
PTERE_00929	K07574
PTERE_00931	K03798
PTERE_00932	K00796
PTERE_00933	K03431
PTERE_00934	K02040
PTERE_00935	K02037
PTERE_00936	K02038
PTERE_00937	K02036
PTERE_00938	K02039
PTERE_00939	K07657
PTERE_00940	K07636
PTERE_00941	K21449
PTERE_00942	K00937
PTERE_00943	K01524
PTERE_00945	K08296
PTERE_00950	K03327
PTERE_00955	K06153
PTERE_00959	K00428
PTERE_00963	K10001
PTERE_00964	K01886
PTERE_00965	K00681
PTERE_00966	K07002
PTERE_00968	K01872
PTERE_00971	K01620
PTERE_00972	K00043
PTERE_00973	K07107
PTERE_00974	K01997
PTERE_00975	K01998
PTERE_00976	K01995
PTERE_00977	K01996
PTERE_00978	K03337
PTERE_00979	K03335
PTERE_00980	K03336
PTERE_00981	K03338
PTERE_00982	K02056
PTERE_00983	K02057
PTERE_00984	K02058
PTERE_00986	K00010
PTERE_00987	K00010
PTERE_00988	K04085
PTERE_00989	K00963
PTERE_00990	K01873
PTERE_00991	K03657
PTERE_00992	K01243
PTERE_00993	K01908
PTERE_00994	K08223
PTERE_00995	K03406
PTERE_01005	K03809
PTERE_01006	K07058
PTERE_01009	K01740
PTERE_01012	K01736
PTERE_01014	K00311
PTERE_01016	K07107
PTERE_01018	K01028
PTERE_01019	K01029
PTERE_01022	K00951
PTERE_01024	K01868
PTERE_01025	K02520
PTERE_01026	K02916
PTERE_01027	K02887
PTERE_01028	K01889
PTERE_01029	K01890
PTERE_01030	K04764
PTERE_01034	K03701
PTERE_01035	K03304
PTERE_01036	K11209
PTERE_01037	K01114
PTERE_01042	K15546
PTERE_01043	K15513
PTERE_01044	K15512
PTERE_01045	K15511
PTERE_01046	K09017
PTERE_01047	K06016
PTERE_01048	K17722
PTERE_01049	K17723
PTERE_01050	K03457
PTERE_01051	K01464
PTERE_01052	K02424
PTERE_01053	K10009
PTERE_01054	K10010
PTERE_01057	K21449
PTERE_01060	K07287
PTERE_01063	K03303
PTERE_01065	K04062
PTERE_01066	K03147
PTERE_01069	K00219
PTERE_01071	K16348
PTERE_01075	K03594
PTERE_01076	K07689
PTERE_01079	K03651
PTERE_01080	K02052
PTERE_01081	K02053
PTERE_01082	K02053
PTERE_01083	K02055
PTERE_01085	K18923
PTERE_01086	K06218
PTERE_01090	K11312
PTERE_01093	K07095
PTERE_01094	K03762
PTERE_01096	K14682
PTERE_01097	K03578
PTERE_01098	K21449
PTERE_01104	K01915
PTERE_01105	K07708
PTERE_01106	K07712
PTERE_01107	K01142
PTERE_01109	K01779
PTERE_01110	K01485
PTERE_01111	K01414
PTERE_01113	K01491
PTERE_01119	K00163
PTERE_01120	K00627
PTERE_01121	K00382
PTERE_01123	K07262
PTERE_01125	K18928
PTERE_01126	K18929
PTERE_01129	K01104
PTERE_01130	K13643
PTERE_01131	K04487
PTERE_01132	K04488
PTERE_01133	K13628
PTERE_01134	K04082
PTERE_01135	K04044
PTERE_01136	K04755
PTERE_01139	K04567
PTERE_01140	K02836
PTERE_01141	K07462
PTERE_01143	K09808
PTERE_01144	K09810
PTERE_01145	K03424
PTERE_01146	K02238
PTERE_01148	K01937
PTERE_01149	K01627
PTERE_01150	K01689
PTERE_01151	K05589
PTERE_01153	K04083
PTERE_01157	K07053
PTERE_01160	K01867
PTERE_01162	K01714
PTERE_01163	K07287
PTERE_01165	K19416
PTERE_01166	K00940
PTERE_01167	K06941
PTERE_01168	K15539
PTERE_01169	K03526
PTERE_01170	K01892
PTERE_01172	K17713
PTERE_01173	K03977
PTERE_01174	K03666
PTERE_01175	K03665
PTERE_01176	K04088
PTERE_01177	K04087
PTERE_01178	K09937
PTERE_01179	K02502
PTERE_01180	K01939
PTERE_01181	K07101
PTERE_01182	K03549
PTERE_01183	K06959
PTERE_01186	K03722
PTERE_01187	K18850
PTERE_01188	K03775
PTERE_01190	K03555
PTERE_01191	K08227
PTERE_01192	K01092
PTERE_01193	K02533
PTERE_01194	K00640
PTERE_01195	K03269
PTERE_01196	K03768
PTERE_01197	K03767
PTERE_01199	K01883
PTERE_01200	K01247
PTERE_01201	K01962
PTERE_01202	K04075
PTERE_01203	K00928
PTERE_01206	K00208
PTERE_01207	K13893
PTERE_01208	K13894
PTERE_01209	K13895
PTERE_01210	K13896
PTERE_01212	K07001
PTERE_01213	K01885
PTERE_01221	K02553
PTERE_01223	K01638
PTERE_01224	K01560
PTERE_01227	K01637
PTERE_01230	K14742
PTERE_01231	K03789
PTERE_01232	K21929
PTERE_01233	K09977
PTERE_01234	K00941
PTERE_01235	K08227
PTERE_01236	K01775
PTERE_01237	K04485
PTERE_01239	K01796
PTERE_01240	K06158
PTERE_01241	K00432
PTERE_01242	K06131
PTERE_01243	K07320
PTERE_01244	K01439
PTERE_01246	K00674
PTERE_01247	K14267
PTERE_01250	K03529
PTERE_01253	K01972
PTERE_01254	K01462
PTERE_01257	K00990
PTERE_01258	K01265
PTERE_01259	K02967
PTERE_01260	K02357
PTERE_01261	K09903
PTERE_01262	K02838
PTERE_01263	K00806
PTERE_01264	K00981
PTERE_01265	K00099
PTERE_01266	K11749
PTERE_01267	K07277
PTERE_01268	K06142
PTERE_01269	K02536
PTERE_01270	K02372
PTERE_01271	K00677
PTERE_01272	K00748
PTERE_01273	K03470
PTERE_01274	K03437
PTERE_01275	K09773
PTERE_01277	K01007
PTERE_01280	K03664
PTERE_01282	K09801
PTERE_01284	K00088
PTERE_01286	K01951
PTERE_01290	K21929
PTERE_01293	K14052
PTERE_01294	K18540
PTERE_01298	K11991
PTERE_01299	K01297
PTERE_01301	K03457
PTERE_01302	K16841
PTERE_01303	K16842
PTERE_01304	K13485
PTERE_01305	K01477
PTERE_01306	K01483
PTERE_01308	K07127
PTERE_01311	K23537
PTERE_01312	K23535
PTERE_01313	K23536
PTERE_01314	K07335
PTERE_01315	K09165
PTERE_01318	K00128
PTERE_01319	K00459
PTERE_01320	K07275
PTERE_01321	K06938
PTERE_01323	K03322
PTERE_01324	K11073
PTERE_01325	K11076
PTERE_01326	K11075
PTERE_01327	K11074
PTERE_01328	K03406
PTERE_01332	K22105
PTERE_01334	K03969
PTERE_01336	K05366
PTERE_01338	K18303
PTERE_01339	K18302
PTERE_01346	K03281
PTERE_01347	K00799
PTERE_01351	K00874
PTERE_01353	K00090
PTERE_01354	K02525
PTERE_01363	K21495
PTERE_01364	K07062
PTERE_01366	K03284
PTERE_01368	K10439
PTERE_01369	K10441
PTERE_01370	K10440
PTERE_01371	K02529
PTERE_01372	K00852
PTERE_01373	K05874
PTERE_01375	K02554
PTERE_01376	K07180
PTERE_01377	K09786
PTERE_01378	K06415
PTERE_01379	K07493
PTERE_01381	K03761
PTERE_01387	K03442
PTERE_01390	K06131
PTERE_01396	K21990
PTERE_01400	K00484
PTERE_01402	K00059
PTERE_01403	K01426
PTERE_01406	K22027
PTERE_01407	K14986
PTERE_01412	K03863
PTERE_01413	K19745
PTERE_01425	K00854
PTERE_01426	K09702
PTERE_01428	K03781
PTERE_01435	K11935
PTERE_01436	K11931
PTERE_01437	K11936
PTERE_01439	K00820
PTERE_01442	K02483
PTERE_01444	K07117
PTERE_01446	K07645
PTERE_01447	K07666
PTERE_01450	K00720
PTERE_01452	K03478
PTERE_01454	K03711
PTERE_01455	K01673
PTERE_01461	K00819
PTERE_01462	K05786
PTERE_01465	K03724
PTERE_01467	K17850
PTERE_01468	K17836
PTERE_01469	K01467
PTERE_01472	K03762
PTERE_01476	K03299
PTERE_01478	K01322
PTERE_01482	K08137
PTERE_01484	K07552
PTERE_01488	K01607
PTERE_01489	K03535
PTERE_01490	K01707
PTERE_01491	K01708
PTERE_01497	K00446
PTERE_01498	K01689
PTERE_01502	K00058
PTERE_01505	K00252
PTERE_01507	K00311
PTERE_01508	K00074
PTERE_01509	K03521
PTERE_01510	K03522
PTERE_01511	K02529
PTERE_01514	K18336
PTERE_01518	K11103
PTERE_01519	K02020
PTERE_01520	K03288
PTERE_01523	K07240
PTERE_01524	K03704
PTERE_01527	K12508
PTERE_01528	K21802
PTERE_01529	K18383
PTERE_01531	K05819
PTERE_01538	K01273
PTERE_01543	K02058
PTERE_01544	K02057
PTERE_01545	K02056
PTERE_01546	K00433
PTERE_01549	K06988
PTERE_01552	K16249
PTERE_01553	K16243
PTERE_01554	K16244
PTERE_01555	K16242
PTERE_01556	K16245
PTERE_01557	K16246
PTERE_01560	K00040
PTERE_01561	K08323
PTERE_01562	K08172
PTERE_01563	K00098
PTERE_01564	K08191
PTERE_01565	K22293
PTERE_01567	K03607
PTERE_01569	K00457
PTERE_01570	K18013
PTERE_01571	K02624
PTERE_01572	K07100
PTERE_01573	K00963
PTERE_01581	K01711
PTERE_01582	K07154
PTERE_01589	K16692
PTERE_01590	K01991
PTERE_01591	K01104
PTERE_01592	K00012
PTERE_01593	K03606
PTERE_01595	K16011
PTERE_01597	K09780
PTERE_01603	K00697
PTERE_01605	K06867
PTERE_01606	K03424
PTERE_01608	K02341
PTERE_01609	K00943
PTERE_01610	K07082
PTERE_01611	K06980
PTERE_01613	K01066
PTERE_01623	K00626
PTERE_01624	K08281
PTERE_01625	K07516
PTERE_01626	K20034
PTERE_01627	K08997
PTERE_01628	K06190
PTERE_01629	K05527
PTERE_01630	K03769
PTERE_01631	K01952
PTERE_01632	K00285
PTERE_01633	K23997
PTERE_01634	K01810
PTERE_01635	K02003
PTERE_01636	K10804
PTERE_01638	K03770
PTERE_01641	K03530
PTERE_01642	K01338
PTERE_01643	K03544
PTERE_01644	K01358
PTERE_01645	K03545
PTERE_01646	K00865
PTERE_01651	K02291
PTERE_01654	K07659
PTERE_01655	K07638
PTERE_01656	K24126
PTERE_01657	K04756
PTERE_01659	K01770
PTERE_01660	K00991
PTERE_01661	K03723
PTERE_01662	K01439
PTERE_01663	K01438
PTERE_01664	K01754
PTERE_01665	K03282
PTERE_01670	K07290
PTERE_01671	K02068
PTERE_01672	K02069
PTERE_01674	K00344
PTERE_01677	K01971
PTERE_01678	K10979
PTERE_01680	K01184
PTERE_01681	K01079
PTERE_01682	K01760
PTERE_01684	K00626
PTERE_01685	K00874
PTERE_01686	K14441
PTERE_01689	K00023
PTERE_01690	K00626
PTERE_01691	K03821
PTERE_01692	K05810
PTERE_01693	K06180
PTERE_01694	K05807
PTERE_01695	K03215
PTERE_01697	K07501
PTERE_01698	K03087
PTERE_01699	K06194
PTERE_01700	K00573
PTERE_01701	K03787
PTERE_01702	K00344
PTERE_01703	K02050
PTERE_01704	K02049
PTERE_01705	K02051
PTERE_01707	K06187
PTERE_01708	K09747
PTERE_01709	K02343
PTERE_01711	K03671
PTERE_01712	K03628
PTERE_01714	K09933
PTERE_01715	K02909
PTERE_01717	K03327
PTERE_01718	K01607
PTERE_01720	K06894
PTERE_01721	K05367
PTERE_01722	K02237
PTERE_01724	K03695
PTERE_01725	K13771
PTERE_01726	K06886
PTERE_01727	K03635
PTERE_01728	K03636
PTERE_01729	K03750
PTERE_01730	K01733
PTERE_01731	K00003
PTERE_01732	K14260
PTERE_01736	K07806
PTERE_01737	K10012
PTERE_01738	K00604
PTERE_01739	K10011
PTERE_01740	K13014
PTERE_01741	K03564
PTERE_01743	K07175
PTERE_01746	K03306
PTERE_01747	K07220
PTERE_01748	K02314
PTERE_01749	K02939
PTERE_01750	K02963
PTERE_01751	K02686
PTERE_01752	K02990
PTERE_01756	K02275
PTERE_01759	K01608
PTERE_01760	K01816
PTERE_01761	K00042
PTERE_01765	K01424
PTERE_01766	K13635
PTERE_01767	K02045
PTERE_01768	K02047
PTERE_01769	K02046
PTERE_01770	K23163
PTERE_01771	K01356
PTERE_01775	K09695
PTERE_01776	K09694
PTERE_01778	K07089
PTERE_01781	K09954
PTERE_01783	K05539
PTERE_01789	K15555
PTERE_01790	K15554
PTERE_01791	K04091
PTERE_01793	K01692
PTERE_01800	K03297
PTERE_01804	K00684
PTERE_01805	K21420
PTERE_01806	K00254
PTERE_01807	K03100
PTERE_01815	K06133
PTERE_01828	K16568
PTERE_01836	K16568
PTERE_01837	K16692
PTERE_01838	K01991
PTERE_01839	K00996
PTERE_01840	K01807
PTERE_01841	K11066
PTERE_01842	K03218
PTERE_01843	K12573
PTERE_01847	K08178
PTERE_01849	K06445
PTERE_01851	K00059
PTERE_01853	K00626
PTERE_01854	K01897
PTERE_01857	K05797
PTERE_01862	K03666
PTERE_01869	K06916
PTERE_01870	K00382
PTERE_01871	K00658
PTERE_01872	K00164
PTERE_01873	K06207
PTERE_01876	K03543
PTERE_01877	K03446
PTERE_01878	K03177
PTERE_01879	K02834
PTERE_01880	K02519
PTERE_01881	K02600
PTERE_01882	K09748
PTERE_01883	K06178
PTERE_01884	K06024
PTERE_01895	K15034
PTERE_01897	K03581
PTERE_01898	K03582
PTERE_01899	K03583
PTERE_01902	K05800
PTERE_01904	K22044
PTERE_01905	K07118
PTERE_01908	K03830
PTERE_01909	K05520
PTERE_01912	K03320
PTERE_01913	K06199
PTERE_01922	K07799
PTERE_01923	K07788
PTERE_01924	K07789
PTERE_01926	K03564
PTERE_01931	K10013
PTERE_01932	K06871
PTERE_01935	K15549
PTERE_01936	K15547
PTERE_01937	K15550
PTERE_01938	K05526
PTERE_01939	K01484
PTERE_01940	K06447
PTERE_01941	K00673
PTERE_01942	K00673
PTERE_01943	K00840
PTERE_01945	K07504
PTERE_01946	K21825
PTERE_01947	K10017
PTERE_01948	K10015
PTERE_01949	K10016
PTERE_01951	K07001
PTERE_01958	K00975
PTERE_01959	K00703
PTERE_01960	K00868
PTERE_01962	K01999
PTERE_01964	K07506
PTERE_01971	K05874
PTERE_01972	K02403
PTERE_01973	K02402
PTERE_01974	K02403
PTERE_01977	K01420
