bpeR	H1a	2.058	0.143	0.101	-6061.026
bspR	H1c	2.288	0.048	0.123	-4518.757
btuD_1	H1a	2.517	0.108	0.044	-8497.132
btuF	H1c	2.048	0.161	0.234	-9781.361
C1-hpah	H0	2.394	0.083	NA	-4033.116
cafA	H1c	2.428	0.032	0.062	-8974.851
carA_1	H0	2.606	0.058	NA	-7726.193
carA	H0	2.341	0.071	NA	-7851.653
carB_1	H1a	2.482	0.057	0.028	-12674.065
cbbA	H0	2.121	0.051	NA	-5786.730
cbl	H1c	2.872	0.025	0.064	-5312.256
cc4	H0	1.998	0.125	NA	-2912.533
cca	H0	2.287	0.089	NA	-11156.698
ccsA	H0	2.496	0.115	NA	-6991.973
chaC	H1c	2.266	0.075	0.177	-4925.667
cheB_1	H1c	2.331	0.049	0.076	-7114.699
cheD	H1c	2.211	0.073	0.120	-5019.656
cheR	H0	1.997	0.112	NA	-7577.675
cheW	H0	2.339	0.060	NA	-2844.791
cheY_1	H0	2.057	0.057	NA	-2255.880
cheY1	H0	2.017	0.109	NA	-2647.389
cheZ	H0	2.350	0.103	NA	-5659.840
cinA	H0	2.364	0.085	NA	-6182.305
citA_1	H1b	2.110	0.080	0.055	-9644.212
clpA	H0	2.959	0.025	NA	-11157.444
clpB	H0	2.454	0.030	NA	-14495.565
clpP_2	H1b	1.402	0.184	0.018	-7492.952
clpS	H0	3.758	0.075	NA	-1109.566
clpX	H0	2.607	0.014	NA	-6797.744
cls_1	H0	2.035	0.124	NA	-13254.487
clsC	H1a	1.804	0.177	0.133	-14600.820
cmk	H1c	2.388	0.117	0.065	-5118.525
coaD	H0	2.450	0.032	NA	-3041.696
coaE	H0	1.867	0.167	NA	-6692.422
cobO_1	H0	2.389	0.083	NA	-4879.233
cobS	H0	2.246	0.160	NA	-7290.448
cobT	H0	2.150	0.154	NA	-9988.477
coq7	H1c	2.073	0.116	0.172	-6646.049
cpoB_1	H0	2.838	0.073	NA	-4839.866
cpoB_2	H1c	2.261	0.155	0.202	-18649.528
cspD_1	H1c	1.370	0.163	0.034	-2387.031
cyaY	H0	2.260	0.097	NA	-2398.923
cysA	H1c	2.528	0.063	0.099	-7344.570
cysD	H0	2.481	0.066	NA	-5626.767
cysH	H1c	2.206	0.096	0.146	-5829.412
cysI	H1a	2.105	0.081	0.060	-10414.978
cysM	H1a	2.233	0.093	0.044	-6811.935
cysN	H0	2.786	0.061	NA	-8520.494
cysS_1	H0	2.177	0.087	NA	-9890.051
cysT	H1c	2.231	0.065	0.114	-6529.382
cysW	H0	1.913	0.110	NA	-7441.877
cyt	H0	2.022	0.227	NA	-3945.945
dadA_1	H1a	2.240	0.086	0.062	-10154.500
dan	H1c	2.558	0.068	0.152	-11436.491
dapA_1	H1a	2.349	0.054	0.064	-6057.225
dapB	H0	2.251	0.093	NA	-5881.236
dapD	H1c	2.461	0.033	0.061	-4082.760
dapE_1	H0	2.100	0.079	NA	-7840.055
dapF	H0	2.245	0.122	NA	-7342.340
dbpA	H1b	2.369	0.064	0.041	-9417.670
dcd	H0	2.262	0.028	NA	-2628.429
dcm	H1c	1.533	0.162	0.213	-13902.543
dctA_1	H1a	2.490	0.089	0.042	-7682.414
dctD	H1c	2.587	0.065	0.106	-10223.523
ddl	H0	2.457	0.083	NA	-6974.030
dedD	H1a	1.640	0.256	0.380	-8439.903
def_1	H0	2.522	0.057	NA	-3401.950
def_2	H1c	2.313	0.056	0.155	-3717.199
dfp	H1c	2.161	0.070	0.127	-8285.000
dnaB	H0	2.203	0.015	NA	-8250.216
dnaE	H1c	2.307	0.053	0.084	-23019.103
dnaG	H1c	2.132	0.056	0.084	-14024.448
dnaJ_1	H0	2.532	0.037	NA	-5866.986
dnaK	H0	1.972	0.053	NA	-9622.722
dnaN	H0	2.418	0.035	NA	-5358.273
dnaQ	H0	2.275	0.106	NA	-6028.291
dppA_2	H1b	1.592	0.149	0.053	-16211.387
dppB	H0	2.720	0.045	NA	-5804.603
dppC	H0	2.875	0.044	NA	-5134.499
dppD	H0	2.534	0.074	NA	-6724.968
dppF_1	H0	2.303	0.075	NA	-6827.882
dsbA	H0	1.917	0.109	NA	-4667.523
dsbB	H0	1.811	0.159	NA	-4939.897
dsbC	H0	2.166	0.101	NA	-5902.005
dtd	H1c	2.909	0.044	0.118	-3547.412
dut	H0	2.492	0.062	NA	-3289.214
dxr	H1c	2.306	0.086	0.118	-9274.762
dxs_1	H0	2.522	0.044	NA	-11908.222
ectD	H0	1.993	0.110	NA	-6724.462
eda	H0	2.579	0.064	NA	-4943.924
edd	H1b	2.421	0.074	0.052	-12286.128
emrA_1	H1a	1.941	0.140	0.078	-9660.430
emrB_1	H0	2.404	0.057	NA	-11382.663
engA	H1b	2.610	0.046	0.027	-8396.937
engB	H0	2.182	0.064	NA	-5241.802
eno	H0	2.549	0.024	NA	-5750.287
era	H0	2.511	0.045	NA	-4953.753
etfA_2	H1a	1.884	0.180	0.080	-9214.321
etfB_2	H1b	1.659	0.106	0.053	-6380.622
exoA	H0	2.153	0.056	NA	-4825.422
fabD_1	H0	2.650	0.099	NA	-7422.225
fabF_4	H0	2.466	0.032	NA	-6551.992
fabG_2	H1c	2.771	0.052	0.093	-5580.884
fabH	H1a	2.677	0.074	0.050	-6867.577
fabZ	H0	2.207	0.068	NA	-2745.890
fadD_1	H1b	1.882	0.135	0.083	-17466.220
fbp_1	H0	2.539	0.039	NA	-5919.947
fbp_3	H0	2.608	0.070	NA	-2020.571
fdx_1	H0	2.490	0.063	NA	-1612.208
fdx_2	H0	2.209	0.071	NA	-2031.322
ffh	H0	2.937	0.034	NA	-7384.276
fghA	H0	2.337	0.114	NA	-7330.652
fieF	H0	2.115	0.106	NA	-8218.535
fis	H0	2.027	0.044	NA	-1018.107
flgC	H1c	2.194	0.051	0.092	-2807.975
flgE_1	H1b	1.866	0.149	0.095	-11619.499
flgF	H1a	2.074	0.138	0.075	-6042.131
flgG	H1a	2.104	0.074	0.043	-4906.984
flgH_2	H1a	2.315	0.131	0.089	-5438.885
flgI	H1a	2.321	0.099	0.071	-8518.513
flgJ	H1a	1.818	0.131	0.089	-7998.028
flhA_1	H1c	2.506	0.016	0.038	-5921.234
flhA_2	H0	2.476	0.061	NA	-13556.138
flhB	H1b	1.798	0.167	0.104	-10186.717
flhC_2	H1c	2.260	0.035	0.074	-3645.871
flhD_1	H1c	1.840	0.054	0.299	-2244.693
flhD_2	H1a	2.228	0.142	0.060	-2256.842
fliA	H1c	2.222	0.030	0.082	-4566.789
fliC	H1b	1.391	0.264	0.104	-9241.528
fliE	H0	1.933	0.157	NA	-2856.944
fliF	H1a	2.028	0.131	0.104	-13576.590
fliG	H0	2.172	0.051	NA	-5368.159
fliH	H1c	2.366	0.131	0.212	-5586.136
fliI	H1a	2.002	0.141	0.089	-12046.308
fliJ	H1c	1.982	0.105	0.229	-4032.917
fliL	H0	1.763	0.199	NA	-5135.637
fliM	H1a	2.414	0.078	0.053	-5522.325
fliN	H0	2.117	0.084	NA	-2950.409
fliP	H0	1.874	0.093	NA	-5386.596
fliQ	H1b	2.201	0.120	0.049	-1849.482
fliR	H1b	1.845	0.174	0.091	-7755.073
fliS	H1c	2.151	0.104	0.220	-3501.261
fmt_1	H0	2.134	0.148	NA	-9666.684
fmt_2	H1c	2.020	0.098	0.150	-6783.643
folC	H0	1.857	0.090	NA	-10318.069
folD	H0	2.213	0.079	NA	-6010.197
folE	H0	1.908	0.095	NA	-5371.256
folP	H0	2.253	0.142	NA	-8303.086
fpr	H1c	2.264	0.066	0.019	-3903.273
frr	H0	2.110	0.052	NA	-3203.248
fsr	H0	2.502	0.065	NA	-8540.146
ftsA	H0	3.356	0.012	NA	-5221.548
ftsB	H0	2.296	0.126	NA	-3851.236
ftsH_1	H0	2.804	0.018	NA	-9427.274
ftsI	H1a	2.168	0.091	0.067	-13495.329
ftsL	H0	2.157	0.089	NA	-2779.606
ftsN	H0	1.841	0.136	NA	-5877.115
ftsQ	H0	2.330	0.081	NA	-4963.388
ftsW	H1a	3.071	0.079	0.055	-8204.329
ftsY_1	H0	2.069	0.101	NA	-8758.964
ftsY	H1a	1.957	0.182	0.147	-14063.770
ftsZ	H0	2.699	0.036	NA	-5548.317
fucU	H1c	2.096	0.125	0.195	-4579.199
fumC	H0	2.236	0.063	NA	-9336.127
fur	H0	2.098	0.024	NA	-2369.793
fusA_2	H1a	1.848	0.113	0.079	-17510.435
fusA_3	H1a	2.438	0.057	0.035	-9716.488
gapA	H0	2.283	0.033	NA	-4741.401
gatA	H0	2.442	0.070	NA	-9774.934
gatB	H0	2.246	0.066	NA	-9198.240
gatC	H0	2.781	0.113	NA	-2077.988
gcl	H0	2.596	0.042	NA	-10057.864
gcp	H1c	2.433	0.047	0.076	-7438.042
gcvH	H1b	1.738	0.138	0.059	-2715.339
gcvP	H0	2.549	0.068	NA	-18171.940
gcvT	H0	2.247	0.113	NA	-8618.525
gidA	H1c	2.045	0.037	0.052	-16785.798
gidB	H0	2.187	0.147	NA	-6883.011
glcD	H1c	2.484	0.034	0.066	-9843.686
glcE	H1c	2.654	0.066	0.117	-8248.937
glcF_1	H1c	2.273	0.089	0.125	-10106.391
glcF_2	H0	2.374	0.079	NA	-5902.327
glk	H1c	2.444	0.041	0.083	-13405.485
glmM	H0	2.134	0.072	NA	-11099.696
glmU	H0	2.141	0.096	NA	-10121.433
glnA	H1c	2.077	0.071	0.012	-6529.666
glnB2	H0	1.778	0.122	NA	-3372.464
glnE	H1c	2.305	0.088	0.114	-22563.891
glnG	H1c	2.319	0.064	0.131	-10776.396
glnL	H1c	2.261	0.058	0.121	-7815.758
glnS	H0	2.135	0.067	NA	-10991.771
gloA	H0	1.601	0.082	NA	-3472.159
glpD	H1c	2.154	0.120	0.176	-13941.340
glpE_1	H1c	2.035	0.106	0.183	-3142.878
glpK	H1c	2.165	0.066	0.102	-11041.907
glt1	H1c	2.538	0.042	0.029	-23618.464
gltA_2	H1c	2.313	0.081	0.019	-8718.213
gltD_2	H0	2.632	0.049	NA	-8390.268
gltI_2	H0	1.953	0.054	NA	-5040.156
gltJ	H1a	2.097	0.091	0.050	-4766.628
gltK	H0	2.266	0.081	NA	-4014.532
gltL	H1b	2.287	0.080	0.031	-3557.897
gltX	H0	2.223	0.073	NA	-10210.249
gluQ	H0	2.045	0.156	NA	-9905.108
glxR_1	H1a	2.344	0.117	0.059	-6589.118
glyA_1	H0	2.316	0.036	NA	-6733.640
glyQ	H0	2.380	0.027	NA	-5022.918
glyS	H1c	2.417	0.095	0.132	-15130.175
gmhD	H0	2.564	0.058	NA	-6099.513
gmk	H0	2.158	0.074	NA	-4348.560
gnd_1	H1a	2.297	0.080	0.051	-9371.235
gpmA	H0	2.429	0.048	NA	-4423.191
gpo	H0	2.111	0.103	NA	-4064.357
gpsA	H0	2.544	0.099	NA	-8739.033
greA	H0	2.110	0.079	NA	-3149.649
groEL	H1b	1.589	0.119	0.015	-12306.555
groES	H0	1.917	0.160	NA	-1879.892
group_1000	H1c	2.365	0.091	0.127	-10121.037
group_1001	H0	2.403	0.106	NA	-7587.397
group_1002	H0	2.152	0.111	NA	-4340.969
group_1003	H0	2.590	0.085	NA	-9448.147
group_1007	H0	2.134	0.117	NA	-4581.664
group_1008	H0	2.143	0.116	NA	-5708.294
group_1009	H1c	2.291	0.104	0.222	-7385.345
group_100	H1a	1.900	0.132	0.034	-5478.673
group_1011	H1a	2.207	0.147	0.113	-11733.810
group_1012	H0	2.231	0.066	NA	-11601.597
group_1013	H0	1.928	0.073	NA	-2948.283
group_1015	H1c	2.404	0.089	0.178	-7062.107
group_1016	H0	2.222	0.116	NA	-6675.527
group_1017	H1a	1.884	0.208	0.147	-9876.424
group_1018	H0	1.970	0.125	NA	-3716.575
group_101	H0	1.992	0.126	NA	-13382.821
group_1020	H0	1.942	0.099	NA	-16379.824
group_1022	H1c	1.866	0.090	0.161	-5469.373
group_1029	H0	2.617	0.067	NA	-9215.298
group_102	H1c	2.091	0.061	0.097	-6899.083
group_1031	H0	2.165	0.113	NA	-4288.510
group_1037	H0	2.226	0.087	NA	-9975.294
group_1040	H1c	2.203	0.100	0.128	-15160.267
group_1042	H0	2.504	0.106	NA	-10130.724
group_1043	H1a	2.278	0.074	0.044	-6755.037
group_1044	H1b	2.384	0.108	0.073	-15312.181
group_1045	H0	2.523	0.263	NA	-2839.814
group_1048	H1b	2.328	0.146	0.082	-3983.811
group_1049	H1b	2.433	0.062	0.035	-9653.531
group_1050	H1c	1.783	0.069	0.116	-6954.484
group_1059	H0	2.392	0.083	NA	-5100.623
group_105	H0	2.335	0.081	NA	-7484.683
group_1062	H0	2.133	0.130	NA	-8474.252
group_1069	H0	2.152	0.079	NA	-7818.185
group_1070	H1c	2.371	0.071	0.121	-4363.243
group_1077	H0	2.515	0.045	NA	-7034.610
group_1078	H1c	2.363	0.070	0.097	-27183.675
group_107	H1a	2.079	0.088	0.039	-2782.062
group_1081	H1a	1.581	0.162	0.116	-5968.853
group_1084	H0	1.770	0.149	NA	-2720.057
group_1101	H1a	1.850	0.184	0.123	-10844.718
group_1103	H0	2.222	0.122	NA	-9540.592
group_1109	H0	2.726	0.053	NA	-5955.241
group_1111	H1c	2.234	0.090	0.226	-7809.923
group_1112	H0	2.246	0.086	NA	-7816.601
group_1113	H0	1.720	0.081	NA	-3998.428
group_1114	H1c	2.387	0.090	0.137	-12494.424
group_1115	H0	2.048	0.147	NA	-5216.454
group_1116	H0	2.358	0.084	NA	-4545.472
group_1123	H0	2.374	0.113	NA	-13522.807
group_1125	H0	1.917	0.137	NA	-3146.857
group_1127	H1b	1.675	0.079	0.115	-10532.909
group_1128	H0	1.943	0.117	NA	-5848.993
group_1129	H1c	2.097	0.107	0.159	-6408.915
group_1130	H1a	2.093	0.142	0.108	-24198.311
group_1132	H0	2.370	0.098	NA	-9245.370
group_113	H1a	2.258	0.097	0.127	-14174.026
group_1141	H0	2.533	0.070	NA	-7019.503
group_1142	H0	1.972	0.143	NA	-4739.689
group_1144	H0	2.164	0.182	NA	-6503.617
group_1145	H0	2.476	0.140	NA	-9086.326
group_1146	H0	2.092	0.110	NA	-15370.505
group_1150	H1c	2.251	0.087	0.142	-12046.051
group_1156	H0	1.885	0.131	NA	-9960.217
group_115	H1a	1.692	0.085	0.171	-3152.792
group_1162	H0	1.835	0.195	NA	-2821.114
group_1163	H0	1.900	0.209	NA	-3128.502
group_1164	H1c	1.948	0.122	0.190	-10463.032
group_1165	H1c	2.114	0.104	0.188	-7290.315
group_1166	H1c	2.388	0.046	0.075	-10502.815
group_1168	H1a	2.213	0.100	0.078	-18229.990
group_1169	H1c	1.604	0.122	0.183	-12485.878
group_1171	H1c	2.101	0.114	0.197	-8399.554
group_1172	H0	1.877	0.098	NA	-9967.510
group_1173	H1c	2.182	0.101	0.163	-17106.793
group_1174	H0	2.474	0.073	NA	-7164.108
group_1175	H1c	2.038	0.102	0.141	-10354.602
group_1179	H0	2.041	0.131	NA	-5941.761
group_1182	H1b	1.969	0.123	0.068	-10238.871
group_1184	H1a	2.009	0.190	0.147	-11973.473
group_1185	H1a	1.924	0.147	0.085	-2763.818
group_1186	H0	2.011	0.091	NA	-21128.441
group_1187	H0	2.265	0.068	NA	-6191.108
group_1188	H0	2.367	0.099	NA	-13868.227
group_118	H1c	2.427	0.075	0.185	-9289.563
group_1190	H1c	2.071	0.119	0.201	-12216.324
group_1192	H0	2.342	0.153	NA	-6733.657
group_1193	H1c	2.383	0.098	0.139	-9602.690
group_1195	H0	1.906	0.106	NA	-15419.099
group_119	H1a	2.094	0.199	0.100	-6642.520
group_1204	H1c	2.187	0.079	0.108	-10116.427
group_1205	H0	2.550	0.069	NA	-5895.434
group_1207	H1c	1.917	0.109	0.154	-8496.707
group_1209	H0	2.232	0.177	NA	-3369.906
group_1211	H1c	1.815	0.114	0.202	-6296.526
group_1212	H1c	2.179	0.103	0.163	-28586.821
group_1213	H0	2.170	0.092	NA	-11064.572
group_1215	H0	2.109	0.060	NA	-4773.168
group_1217	H0	1.967	0.053	NA	-6028.985
group_1218	H1c	2.573	0.065	0.154	-7159.711
group_1219	H1b	1.889	0.174	0.107	-4102.285
group_1221	H1c	1.976	0.075	0.142	-6848.058
group_1222	H1c	2.489	0.045	0.118	-3752.373
group_1223	H0	1.691	0.188	NA	-4863.966
group_1224	H1c	2.632	0.066	0.164	-5147.239
group_1226	H0	2.498	0.041	NA	-2035.662
group_1227	H0	2.286	0.090	NA	-19071.287
group_1229	H0	2.411	0.073	NA	-5312.264
group_122	H1c	1.981	0.101	0.182	-14567.379
group_1232	H1c	2.081	0.071	0.102	-10489.484
group_1233	H0	1.922	0.150	NA	-37706.203
group_1234	H1c	1.914	0.140	0.196	-9978.479
group_1238	H0	1.736	0.138	NA	-1536.958
group_123	H1a	1.810	0.053	0.081	-7584.861
group_1246	H0	2.272	0.053	NA	-6354.492
group_1249	H0	2.512	0.067	NA	-9971.236
group_1257	H0	2.234	0.085	NA	-6346.711
group_1259	H0	2.136	0.071	NA	-2241.294
group_1262	H0	2.817	0.058	NA	-11364.321
group_1264	H1a	2.140	0.101	0.069	-5532.710
group_1269	H1c	2.635	0.082	0.175	-3090.684
group_126	H0	2.326	0.098	NA	-7128.917
group_1277	H1b	2.386	0.060	0.040	-13323.582
group_1278	H0	2.610	0.088	NA	-5067.172
group_1280	H0	2.217	0.064	NA	-7749.061
group_1285	H1a	1.941	0.118	0.071	-3891.361
group_1286	H0	2.984	0.092	NA	-3118.639
group_1287	H0	2.115	0.098	NA	-7654.821
group_1289	H0	2.096	0.077	NA	-7436.494
group_128	H0	2.650	0.057	NA	-4557.975
group_1295	H0	2.234	0.072	NA	-6544.385
group_1298	H1c	2.233	0.068	0.128	-10691.811
group_1305	H0	2.837	0.064	NA	-5688.181
group_1314	H0	2.456	0.071	NA	-8830.488
group_131	H0	1.954	0.095	NA	-4263.130
group_1339	H0	2.286	0.071	NA	-9073.616
group_1343	H0	2.661	0.088	NA	-8963.551
group_1344	H0	2.001	0.111	NA	-4403.493
group_1347	H0	2.106	0.042	NA	-5219.380
group_134	H0	1.762	0.252	NA	-2246.069
group_135	H1a	1.800	0.138	0.055	-1126.618
group_1369	H0	2.264	0.063	NA	-4205.044
group_1371	H0	2.396	0.071	NA	-3919.110
group_1391	H0	2.014	0.051	NA	-11080.461
group_1393	H0	2.350	0.091	NA	-7108.559
group_1396	H0	2.208	0.097	NA	-4922.840
group_139	H1c	1.891	0.058	0.105	-8411.083
group_1401	H0	2.366	0.033	NA	-3133.992
group_1407	H1c	2.522	0.090	0.311	-3562.804
group_1408	H0	2.014	0.109	NA	-3730.605
group_1414	H0	1.874	0.050	NA	-3273.828
group_1420	H1a	2.523	0.046	0.030	-8126.763
group_1421	H0	1.704	0.051	NA	-4389.659
group_142	H0	2.058	0.157	NA	-6092.219
group_143	H1c	2.283	0.088	0.205	-4331.741
group_1447	H1b	2.028	0.067	0.040	-5076.450
group_1451	H0	2.428	0.052	NA	-7072.677
group_1452	H0	2.591	0.166	NA	-1794.754
group_1461	H0	2.023	0.063	NA	-5686.270
group_1471	H0	1.813	0.241	NA	-2244.717
group_1472	H0	2.419	0.088	NA	-3363.920
group_1477	H1c	2.553	0.046	0.059	-19181.279
group_147	H1c	2.139	0.131	0.228	-9306.394
group_1483	H0	1.770	0.101	NA	-3537.929
group_1485	H1c	2.280	0.068	0.193	-5039.571
group_1487	H1a	2.244	0.106	0.081	-10701.932
group_1493	H1c	2.636	0.062	0.206	-10249.829
group_1497	H0	2.616	0.088	NA	-2126.765
group_1505	H0	1.958	0.043	NA	-9876.185
group_1510	H0	2.205	0.080	NA	-11381.562
group_1511	H0	2.429	0.068	NA	-3195.201
group_1515	H1b	1.934	0.051	0.129	-1757.958
group_1520	H0	2.401	0.106	NA	-4452.009
group_1521	H0	2.313	0.106	NA	-4986.695
group_1527	H0	2.606	0.058	NA	-6844.334
group_1530	H0	2.399	0.119	NA	-2342.477
group_1535	H1c	2.251	0.056	0.118	-6330.024
group_1551	H1c	2.428	0.064	0.094	-10854.307
group_1554	H0	2.610	0.049	NA	-7791.265
group_1555	H1b	2.744	0.056	0.039	-14174.411
group_1556	H0	2.386	0.104	NA	-3211.105
group_1557	H0	2.536	0.039	NA	-16906.195
group_1558	H1c	2.429	0.063	0.111	-6244.455
group_1561	H0	2.105	0.087	NA	-6715.679
group_1563	H0	2.374	0.054	NA	-5899.545
group_1572	H0	2.132	0.057	NA	-4568.421
group_1582	H0	1.818	0.080	NA	-2987.846
group_158	H0	2.235	0.083	NA	-6602.773
group_1591	H1c	2.424	0.063	0.115	-3884.798
group_1595	H0	1.443	0.134	NA	-2738.838
group_1596	H0	1.539	0.323	NA	-1968.847
group_15	H1a	1.929	0.053	0.121	-8312.451
group_1608	H1c	2.217	0.073	0.035	-6918.192
group_1610	H0	2.491	0.048	NA	-7472.275
group_1611	H1c	2.383	0.052	0.124	-15225.001
group_1612	H1c	2.356	0.052	0.080	-7634.924
group_1613	H1b	2.067	0.083	0.037	-9105.903
group_1614	H1c	2.695	0.062	0.133	-5494.598
group_1615	H1a	2.108	0.067	0.046	-7859.391
group_1618	H1b	2.001	0.108	0.067	-11136.612
group_1622	H0	1.994	0.100	NA	-2152.959
group_162	H0	2.662	0.088	NA	-4110.704
group_166	H0	2.303	0.124	NA	-5942.575
group_1677	H0	1.993	0.081	NA	-2733.305
group_1678	H1b	2.149	0.056	0.032	-9513.536
group_168	H0	2.437	0.067	NA	-6337.430
group_1697	H1c	2.136	0.050	0.125	-7635.180
group_169	H1a	1.543	0.098	0.167	-2672.261
group_170	H0	1.975	0.186	NA	-13691.389
group_171	H0	1.883	0.084	NA	-4716.802
group_172	H0	2.008	0.132	NA	-2571.453
group_1730	H0	2.541	0.071	NA	-3898.002
group_1731	H0	1.920	0.171	NA	-2232.514
group_173	H1b	2.173	0.148	0.100	-15819.568
group_174	H0	1.870	0.131	NA	-9952.964
group_1753	H0	2.046	0.068	NA	-3992.252
group_175	H0	2.447	0.058	NA	-6619.092
group_177	H0	1.849	0.146	NA	-3279.537
group_1785	H0	2.680	0.042	NA	-5413.172
group_1787	H1c	1.961	0.049	0.099	-2533.800
group_178	H0	2.222	0.168	NA	-6572.840
group_1796	H1c	2.225	0.096	0.165	-4523.395
group_179	H0	2.141	0.128	NA	-9425.517
group_1809	H0	1.950	0.047	NA	-9078.268
group_180	H0	2.629	0.054	NA	-4492.794
group_1812	H0	2.680	0.055	NA	-5792.926
group_1816	H0	2.139	0.036	NA	-2520.599
group_181	H0	2.385	0.203	NA	-9195.307
group_1823	H1c	2.496	0.069	0.212	-4038.182
group_1827	H1c	2.362	0.040	0.076	-4795.353
group_1828	H1c	1.961	0.050	0.090	-6315.691
group_182	H0	2.432	0.107	NA	-7515.048
group_1830	H1b	3.023	0.064	0.145	-3967.618
group_1831	H1a	2.378	0.075	0.105	-7464.214
group_1832	H0	2.086	0.093	NA	-4852.012
group_183	H0	2.470	0.101	NA	-8800.901
group_184	H0	1.913	0.139	NA	-9198.467
group_1853	H0	2.535	0.050	NA	-7551.141
group_1857	H0	2.224	0.042	NA	-4660.837
group_1859	H0	2.519	0.060	NA	-6433.298
group_185	H0	2.125	0.106	NA	-8341.795
group_1875	H1b	1.418	0.125	0.046	-2368.325
group_187	H0	2.584	0.165	NA	-3493.898
group_188	H0	1.986	0.132	NA	-8799.783
group_189	H0	2.974	0.100	NA	-4060.380
group_190	H0	3.125	0.154	NA	-1903.302
group_1919	H1c	2.278	0.047	0.078	-6007.078
group_191	H0	2.240	0.138	NA	-6872.231
group_1923	H0	2.303	0.090	NA	-5150.327
group_1927	H0	3.368	0.120	NA	-1278.364
group_1928	H0	4.041	0.153	NA	-1235.136
group_192	H0	1.884	0.165	NA	-6545.486
group_1933	H0	2.102	0.049	NA	-6669.626
group_1935	H1c	2.288	0.066	0.133	-18593.816
group_193	H1a	2.257	0.088	0.056	-6901.991
