PHAYL_00001	K02313
PHAYL_00616	K03588
PHAYL_00617	K02563
PHAYL_00618	K01924
PHAYL_00619	K01921
PHAYL_00620	K03589
PHAYL_00621	K03590
PHAYL_00622	K03531
PHAYL_00623	K02535
PHAYL_00625	K03070
PHAYL_00626	K00620
PHAYL_00627	K06923
PHAYL_00628	K03574
PHAYL_00629	K18778
PHAYL_00630	K00859
PHAYL_00631	K02654
PHAYL_00632	K02653
PHAYL_00633	K02652
PHAYL_00635	K07687
PHAYL_00636	K07687
PHAYL_00637	K07687
PHAYL_00638	K06188
PHAYL_00649	K01753
PHAYL_00650	K06015
PHAYL_00652	K06879
PHAYL_00653	K01081
PHAYL_00654	K01754
PHAYL_00659	K03183
PHAYL_00661	K03690
PHAYL_00662	K03688
PHAYL_00666	K01876
PHAYL_00667	K08310
PHAYL_00668	K06131
PHAYL_00672	K07516
PHAYL_00673	K00632
PHAYL_00675	K02379
PHAYL_00677	K10806
PHAYL_00678	K06147
PHAYL_00679	K00992
PHAYL_00680	K07102
PHAYL_00681	K04744
PHAYL_00683	K03771
PHAYL_00684	K00097
PHAYL_00685	K02528
PHAYL_00699	K03719
PHAYL_00702	K07046
PHAYL_00705	K01759
PHAYL_00707	K00655
PHAYL_00708	K03273
PHAYL_00709	K01879
PHAYL_00710	K01878
PHAYL_00712	K03820
PHAYL_00713	K06189
PHAYL_00714	K07232
PHAYL_00715	K07042
PHAYL_00716	K06217
PHAYL_00717	K06168
PHAYL_00718	K02858
PHAYL_00720	K00864
PHAYL_00721	K00111
PHAYL_00727	K11927
PHAYL_00728	K11068
PHAYL_00731	K07156
PHAYL_00732	K07245
PHAYL_00734	K06077
PHAYL_00735	K03457
PHAYL_00736	K12255
PHAYL_00739	K01104
PHAYL_00740	K01487
PHAYL_00742	K18475
PHAYL_00743	K02400
PHAYL_00744	K02401
PHAYL_00745	K02421
PHAYL_00746	K02420
PHAYL_00747	K02419
PHAYL_00748	K02417
PHAYL_00750	K02406
PHAYL_00751	K02406
PHAYL_00752	K02406
PHAYL_00755	K02408
PHAYL_00756	K02409
PHAYL_00758	K02410
PHAYL_00759	K02411
PHAYL_00760	K02412
PHAYL_00762	K02407
PHAYL_00763	K02422
PHAYL_00766	K02415
PHAYL_00767	K02405
PHAYL_00768	K02556
PHAYL_00769	K02557
PHAYL_00770	K02398
PHAYL_00771	K02399
PHAYL_00772	K02395
PHAYL_00773	K02386
PHAYL_00774	K02387
PHAYL_00775	K02388
PHAYL_00776	K02389
PHAYL_00777	K02390
PHAYL_00778	K02391
PHAYL_00779	K02392
PHAYL_00780	K02393
PHAYL_00781	K02394
PHAYL_00783	K02396
PHAYL_00784	K02397
PHAYL_00800	K02014
PHAYL_00802	K00626
PHAYL_00803	K01066
PHAYL_00807	K16047
PHAYL_00808	K05898
PHAYL_00810	K05296
PHAYL_00811	K15983
PHAYL_00812	K18687
PHAYL_00813	K16049
PHAYL_00814	K01039
PHAYL_00815	K01040
PHAYL_00816	K01692
PHAYL_00818	K01692
PHAYL_00821	K00626
PHAYL_00825	K00059
PHAYL_00827	K00626
PHAYL_00829	K07003
PHAYL_00830	K15982
PHAYL_00831	K01104
PHAYL_00832	K18365
PHAYL_00834	K18366
PHAYL_00835	K18364
PHAYL_00839	K16050
PHAYL_00843	K16051
PHAYL_00845	K01185
PHAYL_00854	K03640
PHAYL_00855	K03641
PHAYL_00856	K03646
PHAYL_00857	K03560
PHAYL_00858	K03562
PHAYL_00859	K07107
PHAYL_00860	K16066
PHAYL_00862	K00600
PHAYL_00863	K07738
PHAYL_00864	K08084
PHAYL_00865	K02671
PHAYL_00866	K02672
PHAYL_00868	K02655
PHAYL_00872	K24158
PHAYL_00873	K00252
PHAYL_00876	K00451
PHAYL_00877	K01555
PHAYL_00879	K23773
PHAYL_00880	K02000
PHAYL_00881	K02001
PHAYL_00882	K02002
PHAYL_00883	K23464
PHAYL_00884	K01821
PHAYL_00887	K00135
PHAYL_00889	K19577
PHAYL_00890	K03778
PHAYL_00891	K07085
PHAYL_00892	K09758
PHAYL_00895	K13481
PHAYL_00896	K13482
PHAYL_00897	K07402
PHAYL_00900	K04065
PHAYL_00901	K07090
PHAYL_00902	K05786
PHAYL_00905	K04078
PHAYL_00906	K04077
PHAYL_00907	K09946
PHAYL_00908	K01997
PHAYL_00909	K01998
PHAYL_00910	K01995
PHAYL_00911	K01996
PHAYL_00912	K00821
PHAYL_00913	K00523
PHAYL_00915	K06183
PHAYL_00916	K11734
PHAYL_00917	K04093
PHAYL_00927	K21498
PHAYL_00928	K07334
PHAYL_00935	K06940
PHAYL_00937	K06153
PHAYL_00938	K03439
PHAYL_00940	K01265
PHAYL_00943	K03610
PHAYL_00944	K03609
PHAYL_00945	K03608
PHAYL_00947	K02841
PHAYL_00951	K02428
PHAYL_00952	K00989
PHAYL_00954	K00942
PHAYL_00955	K03060
PHAYL_00956	K01139
PHAYL_00960	K04760
PHAYL_00963	K03704
PHAYL_00964	K02342
PHAYL_00965	K04093
PHAYL_00971	K03841
PHAYL_00972	K03576
PHAYL_00973	K00549
PHAYL_00974	K01256
PHAYL_00976	K23541
PHAYL_00977	K21053
PHAYL_00978	K07402
PHAYL_00979	K03611
PHAYL_00980	K02433
PHAYL_00982	K03455
PHAYL_00983	K07010
PHAYL_00986	K03288
PHAYL_00989	K00126
PHAYL_00990	K00123
PHAYL_00991	K00124
PHAYL_00992	K00127
PHAYL_00997	K00721
PHAYL_00998	K07222
PHAYL_01001	K01438
PHAYL_01004	K03457
PHAYL_01006	K22292
PHAYL_01007	K00568
PHAYL_01008	K03286
PHAYL_01009	K02469
PHAYL_01010	K09924
PHAYL_01011	K00831
PHAYL_01012	K14170
PHAYL_01013	K00817
PHAYL_01014	K04517
PHAYL_01015	K00800
PHAYL_01016	K00945
PHAYL_01017	K02945
PHAYL_01018	K05788
PHAYL_01019	K08992
PHAYL_01020	K19804
PHAYL_01021	K00012
PHAYL_01022	K21344
PHAYL_01023	K03274
PHAYL_01024	K02237
PHAYL_01026	K01118
PHAYL_01028	K00375
PHAYL_01029	K12339
PHAYL_01030	K08305
PHAYL_01032	K02071
PHAYL_01033	K02072
PHAYL_01034	K02073
PHAYL_01035	K03521
PHAYL_01036	K03522
PHAYL_01037	K20035
PHAYL_01038	K00285
PHAYL_01039	K03719
PHAYL_01042	K02959
PHAYL_01044	K02860
PHAYL_01045	K00554
PHAYL_01046	K02884
PHAYL_01048	K02227
PHAYL_01049	K06949
PHAYL_01050	K06013
PHAYL_01051	K13288
PHAYL_01052	K03831
PHAYL_01053	K09889
PHAYL_01054	K03592
PHAYL_01055	K00287
PHAYL_01056	K00560
PHAYL_01059	K01755
PHAYL_01062	K01595
PHAYL_01063	K01749
PHAYL_01066	K02498
PHAYL_01067	K05916
PHAYL_01073	K03327
PHAYL_01075	K18555
PHAYL_01078	K06153
PHAYL_01087	K06997
PHAYL_01088	K00317
PHAYL_01089	K00766
PHAYL_01090	K01609
PHAYL_01091	K01586
PHAYL_01095	K01886
PHAYL_01097	K01872
PHAYL_01098	K01997
PHAYL_01099	K01998
PHAYL_01100	K01995
PHAYL_01101	K01996
PHAYL_01102	K04085
PHAYL_01111	K00681
PHAYL_01121	K03701
PHAYL_01125	K07287
PHAYL_01126	K02016
PHAYL_01127	K02231
PHAYL_01128	K01579
PHAYL_01129	K01918
PHAYL_01130	K05896
PHAYL_01132	K07278
PHAYL_01133	K09800
PHAYL_01134	K01874
PHAYL_01136	K03593
PHAYL_01137	K04565
PHAYL_01138	K01494
PHAYL_01139	K01584
PHAYL_01141	K01679
PHAYL_01142	K06132
PHAYL_01143	K03453
PHAYL_01144	K03327
PHAYL_01145	K14761
PHAYL_01150	K05805
PHAYL_01153	K05524
PHAYL_01154	K00763
PHAYL_01155	K00782
PHAYL_01157	K00090
PHAYL_01158	K09760
PHAYL_01161	K03750
PHAYL_01162	K03752
PHAYL_01163	K03639
PHAYL_01164	K08300
PHAYL_01166	K06179
PHAYL_01167	K01091
PHAYL_01169	K04773
PHAYL_01170	K07056
PHAYL_01171	K06287
PHAYL_01173	K07040
PHAYL_01174	K02911
PHAYL_01175	K03621
PHAYL_01176	K00648
PHAYL_01177	K00645
PHAYL_01178	K00059
PHAYL_01179	K02078
PHAYL_01180	K09458
PHAYL_01182	K03088
PHAYL_01183	K03597
PHAYL_01184	K03598
PHAYL_01185	K04771
PHAYL_01193	K03596
PHAYL_01194	K03100
PHAYL_01195	K03685
PHAYL_01196	K03595
PHAYL_01197	K03584
PHAYL_01198	K03474
PHAYL_01199	K00997
PHAYL_01200	K01207
PHAYL_01202	K02356
PHAYL_01204	K03703
PHAYL_01205	K08744
PHAYL_01209	K11904
PHAYL_01217	K02348
PHAYL_01218	K02351
PHAYL_01219	K07152
PHAYL_01220	K01087
PHAYL_01221	K00697
PHAYL_01222	K06147
PHAYL_01225	K00860
PHAYL_01227	K01784
PHAYL_01230	K18829
PHAYL_01231	K18828
PHAYL_01235	K01784
PHAYL_01239	K15778
PHAYL_01240	K02841
PHAYL_01242	K02527
PHAYL_01246	K00573
PHAYL_01248	K13634
PHAYL_01249	K00381
PHAYL_01251	K00390
PHAYL_01253	K00957
PHAYL_01254	K00956
PHAYL_01255	K02303
PHAYL_01256	K03795
PHAYL_01257	K11720
PHAYL_01258	K07091
PHAYL_01259	K01255
PHAYL_01260	K02339
PHAYL_01262	K08738
PHAYL_01264	K01687
PHAYL_01266	K13292
PHAYL_01269	K09888
PHAYL_01271	K16092
PHAYL_01272	K02015
PHAYL_01273	K02013
PHAYL_01274	K00768
PHAYL_01275	K02233
PHAYL_01276	K02226
PHAYL_01279	K04062
PHAYL_01280	K03147
PHAYL_01281	K06911
PHAYL_01282	K06006
PHAYL_01283	K07659
PHAYL_01284	K07638
PHAYL_01286	K02050
PHAYL_01287	K02049
PHAYL_01298	K00697
PHAYL_01302	K08169
PHAYL_01304	K07458
PHAYL_01306	K03863
PHAYL_01307	K03862
PHAYL_01309	K00121
PHAYL_01310	K00558
PHAYL_01311	K05596
PHAYL_01313	K02019
PHAYL_01314	K02017
PHAYL_01315	K02018
PHAYL_01316	K02020
PHAYL_01319	K01669
PHAYL_01321	K02204
PHAYL_01323	K01241
PHAYL_01325	K02335
PHAYL_01326	K03885
PHAYL_01327	K01011
PHAYL_01328	K00499
PHAYL_01329	K03602
PHAYL_01330	K00795
PHAYL_01331	K01662
PHAYL_01332	K09007
PHAYL_01333	K01409
PHAYL_01335	K09117
PHAYL_01336	K02316
PHAYL_01337	K03086
PHAYL_01339	K03704
PHAYL_01340	K03746
PHAYL_01341	K00448
PHAYL_01342	K00449
PHAYL_01343	K02623
PHAYL_01348	K03220
PHAYL_01349	K03227
PHAYL_01350	K03226
PHAYL_01351	K03225
PHAYL_01353	K03230
PHAYL_01354	K03229
PHAYL_01355	K18373
PHAYL_01356	K18374
PHAYL_01357	K03222
PHAYL_01360	K03224
PHAYL_01362	K03228
PHAYL_01364	K03219
PHAYL_01369	K00375
PHAYL_01370	K18201
PHAYL_01372	K02055
PHAYL_01373	K20975
PHAYL_01374	K03221
PHAYL_01376	K03220
PHAYL_01377	K04749
PHAYL_01378	K03230
PHAYL_01384	K07315
PHAYL_01387	K04757
PHAYL_01390	K03219
PHAYL_01392	K03229
PHAYL_01393	K03228
PHAYL_01394	K03227
PHAYL_01395	K03226
PHAYL_01399	K03224
PHAYL_01400	K03223
PHAYL_01403	K03222
PHAYL_01415	K19092
PHAYL_01417	K20975
PHAYL_01418	K03088
PHAYL_01421	K11910
PHAYL_01422	K11901
PHAYL_01423	K11900
PHAYL_01424	K11903
PHAYL_01425	K11905
PHAYL_01426	K11896
PHAYL_01427	K11895
PHAYL_01428	K11907
PHAYL_01429	K11904
PHAYL_01435	K11893
PHAYL_01436	K11892
PHAYL_01437	K11891
PHAYL_01444	K00128
PHAYL_01449	K07093
PHAYL_01453	K02055
PHAYL_01454	K11072
PHAYL_01455	K02054
PHAYL_01456	K02053
PHAYL_01457	K01777
PHAYL_01459	K00963
PHAYL_01460	K01873
PHAYL_01466	K03657
PHAYL_01467	K01243
PHAYL_01468	K06895
PHAYL_01469	K05596
PHAYL_01478	K01521
PHAYL_01479	K01745
PHAYL_01480	K05836
PHAYL_01481	K01458
PHAYL_01483	K00868
PHAYL_01485	K07001
PHAYL_01490	K00673
PHAYL_01491	K00673
PHAYL_01492	K06447
PHAYL_01493	K01484
PHAYL_01494	K05526
PHAYL_01496	K03564
PHAYL_01501	K00208
PHAYL_01502	K13893
PHAYL_01503	K13894
PHAYL_01504	K13895
PHAYL_01505	K13896
PHAYL_01507	K07483
PHAYL_01508	K07085
PHAYL_01509	K01885
PHAYL_01520	K01638
PHAYL_01521	K01560
PHAYL_01524	K01637
PHAYL_01527	K14742
PHAYL_01528	K03789
PHAYL_01529	K21929
PHAYL_01530	K09977
PHAYL_01531	K00941
PHAYL_01532	K08227
PHAYL_01533	K01775
PHAYL_01534	K04485
PHAYL_01535	K06158
PHAYL_01536	K00432
PHAYL_01537	K06131
PHAYL_01538	K07320
PHAYL_01539	K01439
PHAYL_01541	K00674
PHAYL_01542	K14267
PHAYL_01543	K03529
PHAYL_01545	K01972
PHAYL_01546	K01462
PHAYL_01549	K00990
PHAYL_01550	K01265
PHAYL_01551	K02967
PHAYL_01552	K02357
PHAYL_01553	K09903
PHAYL_01554	K02838
PHAYL_01555	K00806
PHAYL_01556	K00981
PHAYL_01557	K00099
PHAYL_01558	K11749
PHAYL_01559	K07277
PHAYL_01560	K06142
PHAYL_01561	K02536
PHAYL_01562	K02372
PHAYL_01563	K00677
PHAYL_01564	K00748
PHAYL_01565	K03470
PHAYL_01566	K03437
PHAYL_01567	K09773
PHAYL_01568	K01007
PHAYL_01571	K03664
PHAYL_01573	K09801
PHAYL_01575	K00088
PHAYL_01577	K01951
PHAYL_01582	K07733
PHAYL_01586	K20266
PHAYL_01588	K07344
PHAYL_01604	K19092
PHAYL_01608	K00077
PHAYL_01610	K01576
PHAYL_01611	K00141
PHAYL_01612	K08195
PHAYL_01613	K00481
PHAYL_01614	K05303
PHAYL_01615	K11991
PHAYL_01616	K01297
PHAYL_01617	K16842
PHAYL_01618	K13485
PHAYL_01619	K01477
PHAYL_01620	K01483
PHAYL_01621	K04719
PHAYL_01623	K05595
PHAYL_01627	K07127
PHAYL_01632	K06938
PHAYL_01634	K11073
PHAYL_01637	K11075
PHAYL_01638	K11074
PHAYL_01645	K03969
PHAYL_01647	K05366
PHAYL_01648	K02517
PHAYL_01651	K07326
PHAYL_01659	K04763
PHAYL_01662	K19048
PHAYL_01664	K04763
PHAYL_01670	K04763
PHAYL_01676	K04763
PHAYL_01682	K04763
PHAYL_01688	K04763
PHAYL_01691	K19048
PHAYL_01693	K04763
PHAYL_01696	K19048
PHAYL_01698	K04763
PHAYL_01703	K04763
PHAYL_01708	K15125
PHAYL_01710	K03281
PHAYL_01714	K21703
PHAYL_01721	K00424
PHAYL_01723	K03284
PHAYL_01724	K10439
PHAYL_01725	K10441
PHAYL_01726	K10440
PHAYL_01727	K02529
PHAYL_01728	K00852
PHAYL_01729	K05874
PHAYL_01730	K07180
PHAYL_01731	K09786
PHAYL_01732	K06415
PHAYL_01733	K03761
PHAYL_01734	K01712
PHAYL_01735	K09975
PHAYL_01736	K01468
PHAYL_01737	K05603
PHAYL_01739	K07248
PHAYL_01741	K01684
PHAYL_01742	K00108
PHAYL_01743	K03566
PHAYL_01744	K10713
PHAYL_01746	K23107
PHAYL_01747	K00135
PHAYL_01748	K08368
PHAYL_01749	K03566
PHAYL_01750	K19156
PHAYL_01754	K07172
PHAYL_01755	K07171
PHAYL_01758	K04065
PHAYL_01767	K06867
PHAYL_01768	K03424
PHAYL_01770	K02341
PHAYL_01771	K00943
PHAYL_01772	K07082
PHAYL_01775	K06980
PHAYL_01779	K07075
PHAYL_01782	K01066
PHAYL_01783	K23256
PHAYL_01786	K00626
PHAYL_01787	K08281
PHAYL_01788	K07516
PHAYL_01789	K08997
PHAYL_01790	K07305
PHAYL_01791	K06190
PHAYL_01792	K05527
PHAYL_01793	K03769
PHAYL_01794	K09805
PHAYL_01796	K01952
PHAYL_01797	K00285
PHAYL_01800	K00285
PHAYL_01802	K23997
PHAYL_01803	K01810
PHAYL_01804	K02003
PHAYL_01805	K10804
PHAYL_01807	K03770
PHAYL_01809	K12543
PHAYL_01810	K12541
PHAYL_01811	K12542
PHAYL_01814	K11717
PHAYL_01815	K05995
PHAYL_01821	K01338
PHAYL_01822	K03544
PHAYL_01823	K01358
PHAYL_01824	K03545
PHAYL_01825	K00865
PHAYL_01826	K02291
PHAYL_01830	K07659
PHAYL_01831	K07638
PHAYL_01832	K24126
PHAYL_01833	K04756
PHAYL_01834	K01770
PHAYL_01835	K00991
PHAYL_01836	K03723
PHAYL_01837	K01438
PHAYL_01838	K01754
PHAYL_01839	K03282
PHAYL_01840	K07290
PHAYL_01843	K01079
PHAYL_01844	K01760
PHAYL_01845	K21000
PHAYL_01850	K16692
PHAYL_01851	K01991
PHAYL_01852	K03606
PHAYL_01853	K12678
PHAYL_01855	K00874
PHAYL_01856	K14441
PHAYL_01861	K19130
PHAYL_01862	K19129
PHAYL_01863	K19128
PHAYL_01864	K19127
PHAYL_01865	K07012
PHAYL_01866	K15342
PHAYL_01867	K03824
PHAYL_01869	K00023
PHAYL_01870	K00626
PHAYL_01871	K03821
PHAYL_01872	K05810
PHAYL_01873	K06180
PHAYL_01874	K05807
PHAYL_01875	K03215
PHAYL_01876	K07501
PHAYL_01877	K03087
PHAYL_01879	K00573
PHAYL_01880	K03787
PHAYL_01882	K06187
PHAYL_01883	K09747
PHAYL_01884	K02343
PHAYL_01885	K03671
PHAYL_01886	K03628
PHAYL_01888	K03446
PHAYL_01889	K09933
PHAYL_01890	K02909
PHAYL_01892	K03327
PHAYL_01893	K02237
PHAYL_01897	K03695
PHAYL_01898	K06886
