PBONN_00001	K02313
PBONN_00206	K02457
PBONN_00207	K02456
PBONN_00208	K02452
PBONN_00209	K02455
PBONN_00210	K02454
PBONN_00211	K02453
PBONN_00214	K03530
PBONN_00215	K15461
PBONN_00217	K06048
PBONN_00220	K01951
PBONN_00222	K07117
PBONN_00223	K07649
PBONN_00224	K02483
PBONN_00225	K01724
PBONN_00226	K00500
PBONN_00227	K03719
PBONN_00230	K00140
PBONN_00231	K00108
PBONN_00234	K01912
PBONN_00236	K01995
PBONN_00237	K01996
PBONN_00238	K01999
PBONN_00239	K01997
PBONN_00240	K01998
PBONN_00241	K01999
PBONN_00242	K01997
PBONN_00243	K01995
PBONN_00243	K01998
PBONN_00244	K01996
PBONN_00245	K03495
PBONN_00246	K03501
PBONN_00247	K03496
PBONN_00248	K03497
PBONN_00250	K02116
PBONN_00251	K02108
PBONN_00252	K02110
PBONN_00253	K02109
PBONN_00254	K02113
PBONN_00255	K02111
PBONN_00256	K02115
PBONN_00257	K02112
PBONN_00258	K02114
PBONN_00259	K00666
PBONN_00260	K01713
PBONN_00261	K01599
PBONN_00262	K04066
PBONN_00264	K13821
PBONN_00265	K01999
PBONN_00270	K01652
PBONN_00271	K01752
PBONN_00273	K00281
PBONN_00274	K02437
PBONN_00275	K00605
PBONN_00277	K03656
PBONN_00283	K11004
PBONN_00284	K11003
PBONN_00285	K12340
PBONN_00295	K09667
PBONN_00296	K09667
PBONN_00297	K09667
PBONN_00299	K02407
PBONN_00300	K02406
PBONN_00301	K02970
PBONN_00302	K01246
PBONN_00303	K18676
PBONN_00305	K06188
PBONN_00306	K03746
PBONN_00307	K02403
PBONN_00309	K02556
PBONN_00310	K02557
PBONN_00311	K03413
PBONN_00312	K03407
PBONN_00313	K03408
PBONN_00314	K00575
PBONN_00315	K03411
PBONN_00316	K03412
PBONN_00317	K03413
PBONN_00318	K03414
PBONN_00324	K02401
PBONN_00325	K02400
PBONN_00326	K02404
PBONN_00327	K04562
PBONN_00328	K02405
PBONN_00329	K02397
PBONN_00330	K02396
PBONN_00331	K02395
PBONN_00332	K02394
PBONN_00333	K02393
PBONN_00334	K02392
PBONN_00335	K02391
PBONN_00336	K02390
PBONN_00337	K02389
PBONN_00338	K02388
PBONN_00339	K02387
PBONN_00340	K02386
PBONN_00341	K02398
PBONN_00342	K02399
PBONN_00352	K21309
PBONN_00353	K21308
PBONN_00354	K21307
PBONN_00355	K00625
PBONN_00356	K03430
PBONN_00357	K03281
PBONN_00358	K09883
PBONN_00359	K09882
PBONN_00360	K03852
PBONN_00361	K00108
PBONN_00362	K13641
PBONN_00364	K00375
PBONN_00365	K11735
PBONN_00367	K01061
PBONN_00368	K01426
PBONN_00370	K03762
PBONN_00371	K02421
PBONN_00372	K02420
PBONN_00373	K02419
PBONN_00374	K02418
PBONN_00375	K02417
PBONN_00376	K02416
PBONN_00377	K02415
PBONN_00378	K02414
PBONN_00379	K02413
PBONN_00380	K02412
PBONN_00381	K02411
PBONN_00382	K02410
PBONN_00383	K02409
PBONN_00384	K02408
PBONN_00387	K02422
PBONN_00388	K02423
PBONN_00391	K04061
PBONN_00392	K00154
PBONN_00393	K09456
PBONN_00396	K01251
PBONN_00397	K08972
PBONN_00398	K00297
PBONN_00399	K12368
PBONN_00400	K12369
PBONN_00401	K12370
PBONN_00402	K12371
PBONN_00403	K12372
PBONN_00404	K09973
PBONN_00406	K07160
PBONN_00407	K23124
PBONN_00408	K23123
PBONN_00410	K01934
PBONN_00411	K08309
PBONN_00412	K00799
PBONN_00413	K00974
PBONN_00417	K01633
PBONN_00418	K14058
PBONN_00419	K04042
PBONN_00420	K00820
PBONN_00422	K07787
PBONN_00423	K07798
PBONN_00426	K02014
PBONN_00432	K01674
PBONN_00437	K00145
PBONN_00439	K07687
PBONN_00440	K00762
PBONN_00441	K00029
PBONN_00442	K04090
PBONN_00444	K00457
PBONN_00445	K03719
PBONN_00457	K02358
PBONN_00459	K03073
PBONN_00460	K02601
PBONN_00461	K02867
PBONN_00462	K02863
PBONN_00463	K02864
PBONN_00464	K02935
PBONN_00465	K03043
PBONN_00466	K03046
PBONN_00467	K03654
PBONN_00468	K02950
PBONN_00469	K02992
PBONN_00470	K02355
PBONN_00471	K02358
PBONN_00472	K02946
PBONN_00473	K02906
PBONN_00474	K02926
PBONN_00475	K02892
PBONN_00476	K02886
PBONN_00477	K02965
PBONN_00478	K02890
PBONN_00479	K02982
PBONN_00480	K02878
PBONN_00481	K02904
PBONN_00482	K02961
PBONN_00483	K02874
PBONN_00484	K02895
PBONN_00485	K02931
PBONN_00486	K02954
PBONN_00487	K02994
PBONN_00488	K02933
PBONN_00489	K02881
PBONN_00490	K02988
PBONN_00491	K02907
PBONN_00492	K02876
PBONN_00493	K03076
PBONN_00494	K02952
PBONN_00495	K02986
PBONN_00496	K03040
PBONN_00497	K02879
PBONN_00498	K04084
PBONN_00499	K01698
PBONN_00500	K03978
PBONN_00502	K07399
PBONN_00504	K07147
PBONN_00505	K17247
PBONN_00506	K01586
PBONN_00508	K06202
PBONN_00509	K05366
PBONN_00511	K02662
PBONN_00514	K02666
PBONN_00515	K00891
PBONN_00516	K01735
PBONN_00517	K01129
PBONN_00519	K07275
PBONN_00520	K07491
PBONN_00521	K00265
PBONN_00522	K00266
PBONN_00529	K02471
PBONN_00531	K03153
PBONN_00532	K03154
PBONN_00533	K03149
PBONN_00534	K00788
PBONN_00535	K02065
PBONN_00536	K02066
PBONN_00537	K02067
PBONN_00538	K04754
PBONN_00539	K07323
PBONN_00540	K07122
PBONN_00541	K01990
PBONN_00542	K01992
PBONN_00544	K00790
PBONN_00545	K00765
PBONN_00546	K00013
PBONN_00547	K00817
PBONN_00548	K01693
PBONN_00549	K02501
PBONN_00550	K01814
PBONN_00551	K02500
PBONN_00552	K01496
PBONN_00553	K01523
PBONN_00555	K02503
PBONN_00556	K03116
PBONN_00557	K03117
PBONN_00558	K03118
PBONN_00559	K04772
PBONN_00561	K00411
PBONN_00562	K00412
PBONN_00563	K00413
PBONN_00564	K03599
PBONN_00565	K03600
PBONN_00567	K18800
PBONN_00568	K03981
PBONN_00570	K01118
PBONN_00571	K03648
PBONN_00572	K18446
PBONN_00573	K01609
PBONN_00574	K00766
PBONN_00575	K01658
PBONN_00576	K01657
PBONN_00577	K01091
PBONN_00578	K01783
PBONN_00579	K06195
PBONN_00581	K08304
PBONN_00582	K01692
PBONN_00589	K01897
PBONN_00591	K06134
PBONN_00592	K03925
PBONN_00593	K03438
PBONN_00594	K03586
PBONN_00595	K03587
PBONN_00596	K01928
PBONN_00597	K01929
PBONN_00598	K01000
PBONN_00599	K01925
PBONN_00600	K03588
PBONN_00601	K02563
PBONN_00602	K01924
PBONN_00603	K01921
PBONN_00604	K03589
PBONN_00605	K03590
PBONN_00606	K03531
PBONN_00607	K02535
PBONN_00609	K03070
PBONN_00610	K00620
PBONN_00611	K06923
PBONN_00612	K03574
PBONN_00613	K09862
PBONN_00614	K18778
PBONN_00615	K00859
PBONN_00616	K02654
PBONN_00617	K02653
PBONN_00618	K02652
PBONN_00620	K07687
PBONN_00621	K07687
PBONN_00622	K07687
PBONN_00623	K06188
PBONN_00632	K01753
PBONN_00633	K06015
PBONN_00635	K06879
PBONN_00636	K01081
PBONN_00637	K01754
PBONN_00641	K03183
PBONN_00643	K03690
PBONN_00644	K03688
PBONN_00648	K01876
PBONN_00649	K08310
PBONN_00650	K06131
PBONN_00653	K07516
PBONN_00654	K00632
PBONN_00656	K02379
PBONN_00658	K10806
PBONN_00659	K06147
PBONN_00660	K00992
PBONN_00661	K07102
PBONN_00662	K04744
PBONN_00663	K03771
PBONN_00664	K00097
PBONN_00665	K02528
PBONN_00666	K01759
PBONN_00672	K00655
PBONN_00673	K03273
PBONN_00674	K01879
PBONN_00675	K01878
PBONN_00678	K03820
PBONN_00679	K06189
PBONN_00680	K07232
PBONN_00681	K07042
PBONN_00682	K06217
PBONN_00683	K06168
PBONN_00685	K02858
PBONN_00688	K00864
PBONN_00689	K00111
PBONN_00693	K00681
PBONN_00696	K11927
PBONN_00697	K11068
PBONN_00700	K07156
PBONN_00701	K07245
PBONN_00703	K06077
PBONN_00705	K03457
PBONN_00706	K12255
PBONN_00710	K01104
PBONN_00711	K01487
PBONN_00712	K18475
PBONN_00716	K02400
PBONN_00717	K02401
PBONN_00718	K02421
PBONN_00719	K02420
PBONN_00720	K02419
PBONN_00721	K02417
PBONN_00724	K02406
PBONN_00725	K02406
PBONN_00726	K02406
PBONN_00730	K02408
PBONN_00731	K02409
PBONN_00732	K02410
PBONN_00733	K02411
PBONN_00734	K02412
PBONN_00736	K02407
PBONN_00737	K02422
PBONN_00740	K02415
PBONN_00741	K02405
PBONN_00742	K02556
PBONN_00743	K02557
PBONN_00744	K02398
PBONN_00745	K02399
PBONN_00746	K02395
PBONN_00747	K02386
PBONN_00748	K02387
PBONN_00749	K02388
PBONN_00750	K02389
PBONN_00751	K02390
PBONN_00752	K02391
PBONN_00753	K02392
PBONN_00754	K02393
PBONN_00755	K02394
PBONN_00757	K02396
PBONN_00758	K02397
PBONN_00766	K16011
PBONN_00768	K07266
PBONN_00769	K12993
PBONN_00770	K01991
PBONN_00771	K10107
PBONN_00772	K09688
PBONN_00773	K09689
PBONN_00778	K01838
PBONN_00783	K07265
PBONN_00786	K12442
PBONN_00787	K00652
PBONN_00801	K03640
PBONN_00802	K03641
PBONN_00803	K03646
PBONN_00804	K03560
PBONN_00805	K03562
PBONN_00806	K07107
PBONN_00807	K16066
PBONN_00808	K00600
PBONN_00809	K07738
PBONN_00810	K08084
PBONN_00812	K02672
PBONN_00814	K02655
PBONN_00818	K24158
PBONN_00820	K00252
PBONN_00823	K08195
PBONN_00824	K00451
PBONN_00825	K01555
PBONN_00827	K23773
PBONN_00828	K02000
PBONN_00829	K02001
PBONN_00830	K02002
PBONN_00831	K23464
PBONN_00832	K01821
PBONN_00835	K00135
PBONN_00841	K19577
PBONN_00842	K03778
PBONN_00843	K07085
PBONN_00844	K09758
PBONN_00846	K13481
PBONN_00847	K13482
PBONN_00848	K07402
PBONN_00856	K07090
PBONN_00857	K05786
PBONN_00860	K04078
PBONN_00861	K04077
PBONN_00863	K01997
PBONN_00864	K01998
PBONN_00865	K01995
PBONN_00866	K01996
PBONN_00867	K00821
PBONN_00868	K00523
PBONN_00870	K06183
PBONN_00871	K11734
PBONN_00872	K04093
PBONN_00877	K06153
PBONN_00878	K03439
PBONN_00882	K02221
PBONN_00885	K22589
PBONN_00886	K06895
PBONN_00887	K03182
PBONN_00889	K03625
PBONN_00890	K00794
PBONN_00891	K14652
PBONN_00892	K00793
PBONN_00893	K11752
PBONN_00894	K01845
PBONN_00895	K07552
PBONN_00896	K00845
PBONN_00897	K01057
PBONN_00898	K00036
PBONN_00899	K17315
PBONN_00900	K17316
PBONN_00901	K17317
PBONN_00902	K10112
PBONN_00904	K00384
PBONN_00905	K03466
PBONN_00906	K03634
PBONN_00907	K21699
PBONN_00908	K03457
PBONN_00909	K07478
PBONN_00910	K07497
PBONN_00912	K01875
PBONN_00916	K01265
PBONN_00918	K03610
PBONN_00919	K03609
PBONN_00920	K03608
PBONN_00922	K02841
PBONN_00924	K03832
PBONN_00927	K02428
PBONN_00928	K00989
PBONN_00930	K00942
PBONN_00931	K03060
PBONN_00932	K01139
PBONN_00935	K04760
PBONN_00938	K03704
PBONN_00939	K02342
PBONN_00940	K04093
PBONN_00943	K07347
PBONN_00944	K15540
PBONN_00945	K07345
PBONN_00948	K03841
PBONN_00949	K03576
PBONN_00950	K00549
PBONN_00951	K01256
PBONN_00953	K23541
PBONN_00954	K21053
PBONN_00955	K07402
PBONN_00956	K03611
PBONN_00957	K02433
PBONN_00958	K03455
PBONN_00959	K07010
PBONN_00965	K00126
PBONN_00966	K00123
PBONN_00967	K00124
PBONN_00968	K00127
PBONN_00971	K09125
PBONN_00972	K06879
PBONN_00976	K22292
PBONN_00977	K00568
PBONN_00978	K03286
PBONN_00979	K02469
PBONN_00980	K09924
PBONN_00981	K00831
PBONN_00982	K14170
PBONN_00983	K00817
PBONN_00984	K04517
PBONN_00985	K00800
PBONN_00986	K00945
PBONN_00987	K02945
PBONN_00988	K05788
PBONN_00990	K19804
PBONN_00991	K00012
PBONN_00992	K21344
PBONN_00993	K03274
PBONN_00994	K02237
PBONN_00995	K12339
PBONN_00996	K08305
PBONN_00998	K01054
PBONN_00999	K02071
PBONN_01000	K02072
PBONN_01001	K02073
PBONN_01002	K03521
PBONN_01003	K03522
PBONN_01004	K20035
PBONN_01005	K00285
PBONN_01006	K03719
PBONN_01009	K02959
PBONN_01010	K02860
PBONN_01011	K00554
PBONN_01012	K02884
PBONN_01014	K02227
PBONN_01016	K06949
PBONN_01017	K06013
PBONN_01018	K13288
PBONN_01019	K03831
PBONN_01020	K09889
PBONN_01021	K09984
PBONN_01023	K03592
PBONN_01024	K00287
PBONN_01028	K06992
PBONN_01034	K00560
PBONN_01037	K01755
PBONN_01040	K01595
PBONN_01041	K01749
PBONN_01042	K13543
PBONN_01043	K02498
PBONN_01049	K03327
PBONN_01051	K18555
PBONN_01054	K06153
PBONN_01058	K01886
PBONN_01060	K01872
PBONN_01061	K01997
PBONN_01062	K01998
PBONN_01063	K01995
PBONN_01064	K01996
PBONN_01065	K04085
PBONN_01072	K00681
PBONN_01083	K03701
PBONN_01087	K07287
PBONN_01090	K04062
PBONN_01091	K03147
PBONN_01093	K00219
PBONN_01099	K07339
PBONN_01106	K07115
PBONN_01107	K00019
PBONN_01108	K07001
PBONN_01109	K00832
PBONN_01110	K03702
PBONN_01111	K07230
PBONN_01113	K07243
PBONN_01115	K11477
PBONN_01117	K07397
PBONN_01121	K03559
PBONN_01122	K03561
PBONN_01123	K03832
PBONN_01124	K02192
PBONN_01125	K01776
PBONN_01126	K03594
PBONN_01127	K01676
PBONN_01130	K01895
PBONN_01132	K14393
PBONN_01134	K09474
PBONN_01135	K00789
PBONN_01136	K07213
PBONN_01141	K14682
PBONN_01142	K03578
PBONN_01149	K01915
PBONN_01150	K07708
PBONN_01151	K07712
PBONN_01152	K01142
PBONN_01160	K02346
PBONN_01161	K01414
PBONN_01162	K01491
PBONN_01165	K00163
PBONN_01166	K00627
PBONN_01167	K00382
PBONN_01169	K07262
PBONN_01171	K18928
PBONN_01172	K18929
PBONN_01185	K06919
PBONN_01191	K05539
PBONN_01194	K13643
PBONN_01195	K04487
PBONN_01196	K04488
PBONN_01197	K13628
PBONN_01198	K04082
PBONN_01199	K04044
PBONN_01200	K04755
PBONN_01203	K04567
PBONN_01204	K02836
PBONN_01205	K07462
PBONN_01208	K09808
PBONN_01209	K09810
PBONN_01210	K03424
PBONN_01211	K02238
PBONN_01213	K01937
PBONN_01214	K01627
PBONN_01215	K01689
PBONN_01216	K05589
PBONN_01218	K04083
PBONN_01222	K07053
PBONN_01225	K01867
PBONN_01227	K01714
PBONN_01228	K07287
PBONN_01230	K19416
PBONN_01231	K00940
PBONN_01232	K06941
PBONN_01233	K15539
PBONN_01234	K03526
PBONN_01235	K01892
PBONN_01237	K17713
PBONN_01238	K03977
PBONN_01239	K03666
PBONN_01240	K03665
PBONN_01241	K04088
PBONN_01242	K04087
PBONN_01243	K09937
PBONN_01244	K02502
PBONN_01245	K01939
PBONN_01246	K07101
PBONN_01247	K03549
PBONN_01248	K06959
PBONN_01251	K03722
PBONN_01252	K18850
PBONN_01253	K03775
PBONN_01255	K03555
PBONN_01263	K01092
PBONN_01264	K02533
PBONN_01265	K03269
PBONN_01266	K03768
PBONN_01267	K03767
PBONN_01269	K01883
PBONN_01270	K01247
PBONN_01271	K01962
PBONN_01272	K04075
PBONN_01273	K00928
PBONN_01275	K07789
PBONN_01276	K07788
PBONN_01277	K07799
PBONN_01279	K07168
PBONN_01280	K06199
PBONN_01286	K05800
PBONN_01289	K03583
PBONN_01290	K03582
PBONN_01291	K03581
PBONN_01292	K15034
PBONN_01301	K06024
PBONN_01302	K06178
PBONN_01303	K09748
PBONN_01304	K02600
PBONN_01305	K02519
PBONN_01306	K02834
PBONN_01307	K03177
PBONN_01308	K03446
PBONN_01309	K03543
PBONN_01312	K06207
PBONN_01313	K00164
PBONN_01314	K00658
PBONN_01315	K00382
PBONN_01316	K06916
PBONN_01321	K02651
PBONN_01322	K02278
PBONN_01324	K02279
PBONN_01325	K02280
PBONN_01327	K02282
PBONN_01328	K02283
PBONN_01329	K12510
PBONN_01330	K12511
PBONN_01336	K03666
PBONN_01337	K08223
PBONN_01339	K21695
PBONN_01346	K03809
PBONN_01347	K07058
PBONN_01350	K01740
PBONN_01353	K01736
PBONN_01356	K00311
PBONN_01358	K07107
PBONN_01360	K01028
PBONN_01361	K01029
PBONN_01364	K00951
PBONN_01366	K01868
PBONN_01367	K02520
PBONN_01368	K02916
PBONN_01369	K02887
PBONN_01370	K01889
PBONN_01371	K01890
PBONN_01372	K04764
PBONN_01377	K02078
PBONN_01378	K02078
PBONN_01383	K07107
PBONN_01386	K00647
PBONN_01388	K00059
PBONN_01389	K09458
PBONN_01390	K00647
PBONN_01394	K00963
PBONN_01395	K01873
PBONN_01396	K03657
PBONN_01397	K01243
PBONN_01398	K06895
PBONN_01399	K05596
PBONN_01402	K11904
PBONN_01409	K01745
PBONN_01410	K05836
PBONN_01411	K01712
PBONN_01412	K09975
PBONN_01413	K01468
PBONN_01414	K05603
PBONN_01415	K01458
PBONN_01417	K00868
PBONN_01419	K07001
PBONN_01424	K01897
PBONN_01426	K06445
PBONN_01431	K12573
PBONN_01432	K03218
PBONN_01433	K01807
PBONN_01435	K10009
PBONN_01436	K02424
PBONN_01437	K00254
PBONN_01438	K21420
PBONN_01439	K00684
PBONN_01443	K03297
PBONN_01444	K01692
PBONN_01446	K07089
PBONN_01449	K09694
PBONN_01450	K09695
PBONN_01453	K01356
PBONN_01454	K23163
PBONN_01455	K02046
PBONN_01456	K02047
PBONN_01457	K02045
PBONN_01458	K13635
PBONN_01459	K01424
PBONN_01461	K00042
PBONN_01462	K01816
PBONN_01463	K01608
PBONN_01465	K02990
PBONN_01466	K02686
PBONN_01467	K02963
PBONN_01468	K02939
PBONN_01469	K02314
PBONN_01470	K07220
PBONN_01471	K03306
PBONN_01474	K07175
PBONN_01475	K03564
PBONN_01476	K13014
PBONN_01477	K10011
PBONN_01478	K00604
PBONN_01479	K10012
PBONN_01480	K07806
PBONN_01484	K14260
PBONN_01485	K00003
PBONN_01486	K01733
PBONN_01487	K03750
PBONN_01488	K03636
PBONN_01489	K03635
PBONN_01490	K06886
PBONN_01491	K03695
PBONN_01495	K02237
PBONN_01496	K03327
PBONN_01498	K02909
PBONN_01499	K09933
PBONN_01502	K03628
PBONN_01503	K03671
PBONN_01504	K02343
PBONN_01505	K09747
PBONN_01506	K06187
PBONN_01508	K02051
PBONN_01509	K02049
PBONN_01510	K02050
PBONN_01511	K03787
PBONN_01512	K00573
PBONN_01513	K06194
PBONN_01514	K03087
PBONN_01515	K07501
PBONN_01516	K03215
PBONN_01517	K05807
PBONN_01518	K06180
PBONN_01519	K05810
PBONN_01520	K03821
PBONN_01521	K00626
PBONN_01522	K00023
PBONN_01524	K05541
PBONN_01525	K14441
PBONN_01526	K00874
PBONN_01529	K01760
PBONN_01530	K01079
PBONN_01534	K07290
PBONN_01535	K03282
PBONN_01536	K01754
PBONN_01537	K01438
PBONN_01538	K03723
PBONN_01539	K00991
PBONN_01540	K01770
PBONN_01541	K04756
PBONN_01542	K24126
PBONN_01543	K07638
PBONN_01544	K07659
PBONN_01547	K02291
PBONN_01548	K00865
PBONN_01549	K03545
PBONN_01550	K01358
PBONN_01551	K03544
PBONN_01552	K01338
PBONN_01553	K03530
PBONN_01556	K12542
PBONN_01557	K12541
PBONN_01558	K12543
PBONN_01561	K03770
PBONN_01563	K10804
PBONN_01564	K02003
PBONN_01565	K01810
PBONN_01567	K23997
PBONN_01568	K00285
PBONN_01569	K01952
PBONN_01571	K03769
PBONN_01572	K05527
PBONN_01573	K06190
PBONN_01574	K07305
PBONN_01575	K08997
PBONN_01576	K07516
PBONN_01577	K08281
PBONN_01578	K00626
PBONN_01581	K23256
PBONN_01583	K01066
PBONN_01584	K06980
PBONN_01585	K07082
PBONN_01586	K00943
PBONN_01587	K02341
PBONN_01589	K03424
PBONN_01590	K06867
PBONN_01599	K04065
PBONN_01601	K07213
PBONN_01602	K19591
PBONN_01603	K03304
PBONN_01604	K03761
PBONN_01605	K06415
PBONN_01606	K09786
PBONN_01607	K07180
PBONN_01608	K05874
PBONN_01610	K00852
PBONN_01611	K02529
PBONN_01612	K10440
PBONN_01613	K10441
PBONN_01614	K10439
PBONN_01618	K03284
PBONN_01620	K07063
PBONN_01622	K00424
PBONN_01624	K07075
PBONN_01630	K21703
PBONN_01632	K06132
PBONN_01635	K03281
PBONN_01636	K18302
PBONN_01637	K18303
PBONN_01641	K15125
PBONN_01648	K07326
PBONN_01652	K02517
PBONN_01654	K05366
PBONN_01656	K03969
PBONN_01658	K07644
PBONN_01659	K07665
PBONN_01665	K11074
PBONN_01666	K11075
PBONN_01667	K11076
PBONN_01668	K11073
PBONN_01670	K06938
PBONN_01678	K07127
PBONN_01682	K05595
PBONN_01684	K04719
PBONN_01685	K01483
PBONN_01686	K01477
PBONN_01687	K13485
PBONN_01688	K16842
PBONN_01689	K01297
PBONN_01690	K11991
PBONN_01699	K09136
PBONN_01703	K01999
PBONN_01706	K19231
PBONN_01709	K01777
PBONN_01710	K02053
PBONN_01711	K02054
PBONN_01712	K11072
PBONN_01713	K02055
PBONN_01715	K22474
PBONN_01717	K06151
PBONN_01718	K06152
PBONN_01721	K03564
PBONN_01724	K05526
PBONN_01725	K01484
PBONN_01726	K06447
PBONN_01727	K00673
PBONN_01728	K00673
PBONN_01732	K07497
PBONN_01737	K01951
PBONN_01739	K00088
PBONN_01741	K09801
PBONN_01743	K03664
PBONN_01746	K01007
PBONN_01747	K09773
PBONN_01748	K03437
PBONN_01749	K03470
PBONN_01750	K00748
PBONN_01751	K00677
PBONN_01752	K02372
PBONN_01753	K02536
PBONN_01754	K06142
PBONN_01755	K07277
PBONN_01756	K11749
PBONN_01757	K00099
PBONN_01758	K00981
PBONN_01759	K00806
PBONN_01760	K02838
PBONN_01761	K09903
PBONN_01762	K02357
PBONN_01763	K02967
PBONN_01764	K01265
PBONN_01765	K00990
PBONN_01769	K01462
PBONN_01770	K01972
PBONN_01772	K03529
PBONN_01774	K14267
PBONN_01775	K00674
PBONN_01777	K01439
PBONN_01778	K07320
PBONN_01779	K06131
PBONN_01780	K00432
PBONN_01783	K04485
PBONN_01784	K01775
PBONN_01785	K08227
PBONN_01786	K00941
PBONN_01787	K09977
PBONN_01788	K21929
PBONN_01790	K14742
PBONN_01793	K01637
PBONN_01796	K01560
PBONN_01797	K01638
PBONN_01804	K01885
PBONN_01805	K07001
PBONN_01807	K13896
PBONN_01808	K13895
PBONN_01809	K13894
PBONN_01810	K13893
PBONN_01811	K00208
PBONN_01816	K07093
PBONN_01822	K00128
PBONN_01834	K11891
PBONN_01835	K11892
PBONN_01836	K11893
PBONN_01842	K11904
PBONN_01843	K11907
PBONN_01844	K11895
PBONN_01845	K11896
PBONN_01846	K11905
PBONN_01847	K11903
PBONN_01848	K11900
PBONN_01849	K11901
PBONN_01850	K11910
PBONN_01853	K03088
PBONN_01854	K20975
PBONN_01866	K04053
PBONN_01867	K03222
PBONN_01869	K03223
PBONN_01870	K03224
PBONN_01874	K03226
PBONN_01875	K03227
PBONN_01876	K03228
PBONN_01877	K03229
PBONN_01879	K03219
PBONN_01890	K07315
PBONN_01895	K03230
PBONN_01899	K03221
PBONN_01900	K20975
PBONN_01901	K02055
PBONN_01903	K18201
PBONN_01904	K00375
PBONN_01910	K03219
PBONN_01912	K03228
PBONN_01915	K03224
PBONN_01918	K03222
PBONN_01919	K18374
PBONN_01920	K18373
PBONN_01921	K03229
PBONN_01922	K03230
PBONN_01925	K03226
PBONN_01926	K03227
PBONN_01933	K00449
PBONN_01934	K00448
PBONN_01935	K03746
PBONN_01936	K03704
PBONN_01938	K03086
PBONN_01939	K02316
PBONN_01940	K09117
PBONN_01942	K01409
PBONN_01943	K09007
PBONN_01944	K01662
PBONN_01945	K00795
PBONN_01946	K03602
PBONN_01947	K00499
PBONN_01948	K01011
PBONN_01949	K03885
PBONN_01950	K02335
PBONN_01952	K01241
PBONN_01954	K02204
PBONN_01956	K01669
PBONN_01957	K07127
PBONN_01962	K02020
PBONN_01963	K02018
PBONN_01964	K02017
PBONN_01965	K02019
PBONN_01969	K18843
PBONN_01975	K05596
PBONN_01976	K00558
PBONN_01977	K07458
PBONN_01980	K08169
PBONN_01982	K00697
PBONN_01991	K02049
PBONN_01992	K02050
PBONN_01995	K07638
PBONN_01996	K07659
PBONN_01997	K06006
PBONN_01998	K06911
PBONN_02000	K10016
PBONN_02001	K10015
PBONN_02002	K10017
PBONN_02005	K04751
PBONN_02006	K01950
PBONN_02008	K09919
PBONN_02010	K07461
PBONN_02015	K00883
PBONN_02016	K01631
