PXENO_00001	K00865
PXENO_00803	K14393
PXENO_00805	K01895
PXENO_00810	K03224
PXENO_00811	K03230
PXENO_00812	K03229
PXENO_00813	K03228
PXENO_00814	K03227
PXENO_00815	K03226
PXENO_00816	K03225
PXENO_00819	K03222
PXENO_00825	K03219
PXENO_00829	K01676
PXENO_00830	K03594
PXENO_00831	K01776
PXENO_00832	K02192
PXENO_00833	K03832
PXENO_00834	K03561
PXENO_00835	K03559
PXENO_00838	K06911
PXENO_00839	K07397
PXENO_00843	K07243
PXENO_00845	K07230
PXENO_00846	K03702
PXENO_00847	K00832
PXENO_00848	K07001
PXENO_00849	K00019
PXENO_00851	K07115
PXENO_00852	K02051
PXENO_00857	K03101
PXENO_00859	K19591
PXENO_00860	K07213
PXENO_00861	K00789
PXENO_00862	K14162
PXENO_00863	K14161
PXENO_00864	K14160
PXENO_00865	K07484
PXENO_00884	K09861
PXENO_00886	K14287
PXENO_00887	K00799
PXENO_00888	K00074
PXENO_00889	K15866
PXENO_00892	K00249
PXENO_00901	K01183
PXENO_00904	K01515
PXENO_00906	K00343
PXENO_00907	K00342
PXENO_00908	K00341
PXENO_00909	K00340
PXENO_00910	K00339
PXENO_00911	K00338
PXENO_00912	K00337
PXENO_00913	K00336
PXENO_00914	K00335
PXENO_00915	K00334
PXENO_00916	K00333
PXENO_00917	K00332
PXENO_00918	K00331
PXENO_00919	K00330
PXENO_00921	K03075
PXENO_00922	K01803
PXENO_00923	K00344
PXENO_00924	K00962
PXENO_00925	K02956
PXENO_00929	K01673
PXENO_00931	K01649
PXENO_00932	K17103
PXENO_00933	K01613
PXENO_00934	K00053
PXENO_00935	K01653
PXENO_00936	K01652
PXENO_00943	K00901
PXENO_00949	K06886
PXENO_00950	K02004
PXENO_00952	K11741
PXENO_00953	K07667
PXENO_00954	K07646
PXENO_00955	K01548
PXENO_00956	K01547
PXENO_00957	K01546
PXENO_00960	K00344
PXENO_00961	K01734
PXENO_00962	K00059
PXENO_00963	K00761
PXENO_00965	K01945
PXENO_00966	K00228
PXENO_00967	K00969
PXENO_00968	K09710
PXENO_00969	K00783
PXENO_00970	K06287
PXENO_00971	K08301
PXENO_00974	K03442
PXENO_00977	K08968
PXENO_00978	K02019
PXENO_00980	K04750
PXENO_00986	K03554
PXENO_00993	K11085
PXENO_00994	K12984
PXENO_00995	K02337
PXENO_00996	K07146
PXENO_00997	K01894
PXENO_00998	K11927
PXENO_01000	K01652
PXENO_01003	K08289
PXENO_01005	K03466
PXENO_01006	K07404
PXENO_01010	K05973
PXENO_01012	K03616
PXENO_01013	K10773
PXENO_01018	K09989
PXENO_01019	K05782
PXENO_01020	K00616
PXENO_01021	K04750
PXENO_01023	K03307
PXENO_01027	K03181
PXENO_01031	K04079
PXENO_01034	K05825
PXENO_01038	K07240
PXENO_01040	K02621
PXENO_01041	K02622
PXENO_01042	K15738
PXENO_01053	K11209
PXENO_01057	K00558
PXENO_01058	K00029
PXENO_01059	K11103
PXENO_01060	K22209
PXENO_01061	K16135
PXENO_01067	K03762
PXENO_01069	K01574
PXENO_01070	K00101
PXENO_01073	K07458
PXENO_01075	K08169
PXENO_01076	K00697
PXENO_01085	K02049
PXENO_01086	K02050
PXENO_01089	K07638
PXENO_01090	K07659
PXENO_01091	K06006
PXENO_01092	K06911
PXENO_01093	K10016
PXENO_01094	K10015
PXENO_01095	K10017
PXENO_01097	K04751
PXENO_01098	K01950
PXENO_01099	K09919
PXENO_01100	K07461
PXENO_01102	K01507
PXENO_01103	K00128
PXENO_01104	K00059
PXENO_01111	K02498
PXENO_01112	K13543
PXENO_01113	K01749
PXENO_01114	K01595
PXENO_01117	K01755
PXENO_01118	K03832
PXENO_01123	K02841
PXENO_01125	K03608
PXENO_01126	K03609
PXENO_01127	K03610
PXENO_01129	K01265
PXENO_01133	K00574
PXENO_01134	K09701
PXENO_01135	K06954
PXENO_01138	K01875
PXENO_01139	K07478
PXENO_01140	K03457
PXENO_01141	K12255
PXENO_01142	K21699
PXENO_01143	K03634
PXENO_01144	K03466
PXENO_01146	K00384
PXENO_01150	K00799
PXENO_01151	K18900
PXENO_01152	K10112
PXENO_01153	K17317
PXENO_01154	K17316
PXENO_01155	K17315
PXENO_01156	K00036
PXENO_01157	K01057
PXENO_01158	K00845
PXENO_01160	K07666
PXENO_01161	K02484
PXENO_01162	K03781
PXENO_01167	K01438
PXENO_01170	K07222
PXENO_01174	K02052
PXENO_01175	K02055
PXENO_01176	K02054
PXENO_01177	K02053
PXENO_01178	K03566
PXENO_01180	K08994
PXENO_01182	K01584
PXENO_01183	K01494
PXENO_01185	K04565
PXENO_01187	K03593
PXENO_01189	K01874
PXENO_01190	K09800
PXENO_01191	K07278
PXENO_01193	K05896
PXENO_01194	K01918
PXENO_01195	K01579
PXENO_01196	K03496
PXENO_01197	K19222
PXENO_01198	K02232
PXENO_01199	K02231
PXENO_01200	K02227
PXENO_01201	K02225
PXENO_01202	K02016
PXENO_01203	K02226
PXENO_01204	K02233
PXENO_01205	K00768
PXENO_01206	K02013
PXENO_01207	K02015
PXENO_01208	K16092
PXENO_01210	K09888
PXENO_01221	K07486
PXENO_01222	K07216
PXENO_01226	K00108
PXENO_01227	K00128
PXENO_01230	K18068
PXENO_01231	K08195
PXENO_01232	K00059
PXENO_01233	K18068
PXENO_01235	K05799
PXENO_01237	K21607
PXENO_01238	K18068
PXENO_01240	K13021
PXENO_01241	K01796
PXENO_01244	K07068
PXENO_01245	K03862
PXENO_01246	K16516
PXENO_01248	K01666
PXENO_01249	K04073
PXENO_01250	K02554
PXENO_01251	K05714
PXENO_01253	K10622
PXENO_01255	K10620
PXENO_01256	K10621
PXENO_01257	K16303
PXENO_01258	K10619
PXENO_01259	K00529
PXENO_01260	K06076
PXENO_01264	K00146
PXENO_01266	K03556
PXENO_01270	K01061
PXENO_01271	K03522
PXENO_01272	K03521
PXENO_01275	K01895
PXENO_01277	K00020
PXENO_01278	K00140
PXENO_01279	K08172
PXENO_01281	K03446
PXENO_01282	K06075
PXENO_01284	K03543
PXENO_01285	K03446
PXENO_01291	K00529
PXENO_01292	K04755
PXENO_01295	K00108
PXENO_01297	K05799
PXENO_01299	K00128
PXENO_01300	K07068
PXENO_01301	K00626
PXENO_01306	K01066
PXENO_01310	K00059
PXENO_01329	K13292
PXENO_01331	K01687
PXENO_01332	K08738
PXENO_01334	K02339
PXENO_01335	K01255
PXENO_01336	K07091
PXENO_01337	K11720
PXENO_01338	K03795
PXENO_01342	K07326
PXENO_01344	K15125
PXENO_01347	K21511
PXENO_01355	K02303
PXENO_01356	K00956
PXENO_01357	K00957
PXENO_01358	K00390
PXENO_01360	K00381
PXENO_01361	K13634
PXENO_01362	K01999
PXENO_01369	K10439
PXENO_01370	K10440
PXENO_01371	K10441
PXENO_01372	K05499
PXENO_01373	K00573
PXENO_01380	K11959
PXENO_01381	K11960
PXENO_01382	K11961
PXENO_01383	K11962
PXENO_01384	K11963
PXENO_01388	K02030
PXENO_01389	K01430
PXENO_01390	K01429
PXENO_01391	K01428
PXENO_01392	K03187
PXENO_01393	K03188
PXENO_01394	K03189
PXENO_01395	K02527
PXENO_01397	K02841
PXENO_01398	K15778
PXENO_01402	K01784
PXENO_01403	K01999
PXENO_01404	K01997
PXENO_01405	K01995
PXENO_01405	K01998
PXENO_01406	K01996
PXENO_01410	K03272
PXENO_01414	K17947
PXENO_01418	K00973
PXENO_01419	K01710
PXENO_01423	K05874
PXENO_01425	K01791
PXENO_01428	K07484
PXENO_01429	K07484
PXENO_01430	K07483
PXENO_01444	K07483
PXENO_01445	K07486
PXENO_01449	K07497
PXENO_01451	K07497
PXENO_01456	K07483
PXENO_01457	K07484
PXENO_01458	K07484
PXENO_01462	K01784
PXENO_01466	K16652
PXENO_01474	K07483
PXENO_01475	K07484
PXENO_01476	K07484
PXENO_01480	K09691
PXENO_01481	K09690
PXENO_01482	K01790
PXENO_01483	K00973
PXENO_01484	K00067
PXENO_01485	K01710
PXENO_01486	K22252
PXENO_01487	K01525
PXENO_01488	K00655
PXENO_01489	K01465
PXENO_01490	K00609
PXENO_01491	K02825
PXENO_01492	K07447
PXENO_01493	K07735
PXENO_01496	K00941
PXENO_01497	K04077
PXENO_01498	K04078
PXENO_01507	K20265
PXENO_01508	K01580
PXENO_01510	K07027
PXENO_01511	K01535
PXENO_01515	K07223
PXENO_01519	K03639
PXENO_01520	K08994
PXENO_01521	K00426
PXENO_01522	K00425
PXENO_01524	K06204
PXENO_01532	K16692
PXENO_01534	K21000
PXENO_01539	K03818
PXENO_01541	K03208
PXENO_01543	K02377
PXENO_01544	K01711
PXENO_01545	K16692
PXENO_01546	K01991
PXENO_01547	K03606
PXENO_01548	K16011
PXENO_01552	K03207
PXENO_01559	K07090
PXENO_01565	K07402
PXENO_01566	K13482
PXENO_01567	K13481
PXENO_01572	K09758
PXENO_01573	K07085
PXENO_01574	K07085
PXENO_01575	K03778
PXENO_01577	K01692
PXENO_01578	K19577
PXENO_01580	K01555
PXENO_01581	K00451
PXENO_01582	K08195
PXENO_01585	K00252
PXENO_01586	K24158
PXENO_01590	K02655
PXENO_01591	K02672
PXENO_01593	K08084
PXENO_01594	K07738
PXENO_01595	K00600
PXENO_01596	K16066
PXENO_01597	K07107
PXENO_01598	K03562
PXENO_01599	K03560
PXENO_01600	K03646
PXENO_01601	K03641
PXENO_01602	K03640
PXENO_01609	K01420
PXENO_01610	K07168
PXENO_01614	K03442
PXENO_01615	K03975
PXENO_01616	K03572
PXENO_01617	K00791
PXENO_01618	K01933
PXENO_01633	K10763
PXENO_01635	K00970
PXENO_01636	K00950
PXENO_01637	K15518
PXENO_01638	K00606
PXENO_01640	K03342
PXENO_01641	K03686
PXENO_01642	K04043
PXENO_01644	K03687
PXENO_01646	K04762
PXENO_01647	K01772
PXENO_01648	K03705
PXENO_01649	K00858
PXENO_01650	K03631
PXENO_01651	K00982
PXENO_01653	K11206
PXENO_01654	K03568
PXENO_01655	K01626
PXENO_01658	K00798
PXENO_01659	K00102
PXENO_01660	K00104
PXENO_01661	K11472
PXENO_01662	K11473
PXENO_01663	K06997
PXENO_01664	K00286
PXENO_01665	K03179
PXENO_01666	K04047
PXENO_01668	K03781
PXENO_01670	K04761
PXENO_01671	K03655
PXENO_01672	K07568
PXENO_01673	K00773
PXENO_01674	K03210
PXENO_01675	K03072
PXENO_01676	K03074
PXENO_01677	K03762
PXENO_01681	K03808
PXENO_01682	K03808
PXENO_01683	K06192
PXENO_01684	K09857
PXENO_01686	K07444
PXENO_01687	K06996
PXENO_01689	K00325
PXENO_01690	K00324
PXENO_01691	K00324
PXENO_01693	K00566
PXENO_01695	K01878
PXENO_01696	K01879
PXENO_01697	K03273
PXENO_01698	K00655
PXENO_01701	K01759
PXENO_01704	K02528
PXENO_01705	K00097
PXENO_01706	K03771
PXENO_01707	K04744
PXENO_01708	K07102
PXENO_01709	K00992
PXENO_01710	K06147
PXENO_01711	K10806
PXENO_01713	K03566
PXENO_01717	K02379
PXENO_01719	K00632
PXENO_01720	K07516
PXENO_01724	K06131
PXENO_01725	K08310
PXENO_01726	K01876
PXENO_01730	K03688
PXENO_01731	K03690
PXENO_01733	K03183
PXENO_01737	K01754
PXENO_01738	K01081
PXENO_01739	K06879
PXENO_01741	K06015
PXENO_01742	K19337
PXENO_01743	K01753
PXENO_01747	K14731
PXENO_01750	K06188
PXENO_01751	K07687
PXENO_01752	K07687
PXENO_01753	K07687
PXENO_01759	K02275
PXENO_01760	K02274
PXENO_01762	K05874
PXENO_01764	K01644
PXENO_01765	K03710
PXENO_01769	K08369
PXENO_01770	K18290
PXENO_01772	K08369
PXENO_01775	K11477
PXENO_01776	K06152
PXENO_01777	K06151
PXENO_01780	K00059
PXENO_01785	K03710
PXENO_01788	K03111
PXENO_01790	K03701
PXENO_01794	K01433
PXENO_01797	K00759
PXENO_01798	K03455
PXENO_01799	K06041
PXENO_01800	K03270
PXENO_01801	K11719
PXENO_01802	K09774
PXENO_01803	K06861
PXENO_01804	K03092
PXENO_01805	K05808
PXENO_01806	K02806
PXENO_01807	K06023
PXENO_01808	K06958
PXENO_01809	K07157
PXENO_01810	K03575
PXENO_01811	K10563
PXENO_01813	K02494
PXENO_01814	K00919
PXENO_01816	K00948
PXENO_01817	K02897
PXENO_01818	K01056
PXENO_01819	K00817
PXENO_01821	K00954
PXENO_01822	K08316
PXENO_01823	K03110
PXENO_01825	K16165
PXENO_01828	K12976
PXENO_01829	K03089
PXENO_01831	K00425
PXENO_01832	K00426
PXENO_01833	K00424
PXENO_01835	K02804
PXENO_01836	K23993
PXENO_01837	K00820
PXENO_01838	K01443
PXENO_01839	K03710
PXENO_01841	K02073
PXENO_01842	K03406
PXENO_01844	K07152
PXENO_01845	K02257
PXENO_01846	K02259
PXENO_01848	K14998
PXENO_01850	K02276
PXENO_01852	K02258
PXENO_01854	K02274
PXENO_01855	K02275
PXENO_01857	K02169
PXENO_01859	K03216
PXENO_01860	K23518
PXENO_01861	K00057
PXENO_01862	K03071
PXENO_01863	K03676
PXENO_01865	K01834
PXENO_01866	K03797
PXENO_01867	K21029
PXENO_01868	K08483
PXENO_01869	K02784
PXENO_01870	K02793
PXENO_01871	K01920
PXENO_01872	K01919
PXENO_01873	K03320
PXENO_01874	K04752
PXENO_01875	K09806
PXENO_01876	K07391
PXENO_01879	K10126
PXENO_01880	K10125
PXENO_01881	K11103
PXENO_01882	K02052
PXENO_01883	K02053
PXENO_01884	K02054
PXENO_01885	K02055
PXENO_01886	K01126
PXENO_01887	K03436
PXENO_01888	K03324
PXENO_01890	K15552
PXENO_01891	K10831
PXENO_01892	K15551
PXENO_01895	K03644
PXENO_01896	K03801
PXENO_01898	K03566
PXENO_01899	K09158
PXENO_01900	K00824
PXENO_01901	K07258
PXENO_01902	K07018
PXENO_01905	K18480
PXENO_01906	K02067
PXENO_01907	K02065
PXENO_01908	K02066
PXENO_01909	K03524
PXENO_01910	K03525
PXENO_01912	K21345
PXENO_01915	K01692
PXENO_01916	K01999
PXENO_01917	K16171
PXENO_01920	K01055
PXENO_01922	K00548
PXENO_01925	K00548
PXENO_01928	K01887
PXENO_01930	K03673
PXENO_01933	K12368
PXENO_01936	K00906
PXENO_01937	K01673
PXENO_01938	K00626
PXENO_01940	K00248
PXENO_01941	K09858
PXENO_01945	K00833
PXENO_01946	K00652
PXENO_01947	K01935
PXENO_01948	K01012
PXENO_01949	K02048
PXENO_01950	K07002
PXENO_01952	K12972
PXENO_01953	K01640
PXENO_01955	K06938
PXENO_01959	K01561
PXENO_01960	K00459
PXENO_01961	K11942
PXENO_01965	K14347
PXENO_01969	K00847
PXENO_01972	K08715
PXENO_01973	K04090
PXENO_01974	K06201
PXENO_01976	K24163
PXENO_01977	K09016
PXENO_01982	K05874
PXENO_01983	K00375
PXENO_01984	K01628
PXENO_01985	K01714
PXENO_01991	K08738
PXENO_01993	K03271
PXENO_01994	K07460
PXENO_01995	K07056
PXENO_01996	K03642
PXENO_01997	K01069
PXENO_01999	K03719
PXENO_02001	K03746
PXENO_02004	K07226
PXENO_02007	K10277
PXENO_02008	K01999
PXENO_02009	K00459
PXENO_02010	K01061
PXENO_02011	K01426
PXENO_02012	K03762
PXENO_02015	K01338
PXENO_02018	K01785
PXENO_02019	K02529
PXENO_02020	K23508
PXENO_02021	K10820
PXENO_02022	K23509
PXENO_02023	K23509
PXENO_02025	K00528
PXENO_02027	K07689
PXENO_02028	K03294
PXENO_02032	K03518
PXENO_02033	K03520
PXENO_02034	K03519
PXENO_02036	K07161
PXENO_02037	K09386
PXENO_02038	K07402
PXENO_02039	K09939
PXENO_02046	K08224
PXENO_02048	K19265
PXENO_02050	K00477
PXENO_02053	K00789
PXENO_02054	K02517
PXENO_02055	K01778
PXENO_02056	K09921
PXENO_02057	K03733
PXENO_02058	K06969
PXENO_02060	K06204
PXENO_02061	K01419
PXENO_02062	K03667
PXENO_02063	K15012
PXENO_02064	K15011
PXENO_02066	K00930
PXENO_02067	K07025
PXENO_02068	K05501
PXENO_02069	K00641
PXENO_02071	K08218
PXENO_02073	K01142
PXENO_02075	K02434
PXENO_02076	K02433
PXENO_02077	K02435
PXENO_02078	K03569
PXENO_02079	K03570
PXENO_02080	K03571
PXENO_02081	K05515
PXENO_02082	K05837
PXENO_02083	K07126
PXENO_02085	K01737
PXENO_02086	K10026
PXENO_02087	K06920
PXENO_02092	K03500
PXENO_02093	K03799
PXENO_02095	K00604
PXENO_02096	K01462
PXENO_02097	K04096
PXENO_02098	K03671
PXENO_02099	K03169
PXENO_02101	K01596
PXENO_02102	K00058
PXENO_02109	K11904
PXENO_02111	K11896
PXENO_02112	K11897
PXENO_02114	K10013
PXENO_02115	K14287
PXENO_02116	K05591
PXENO_02119	K01534
PXENO_02120	K04033
PXENO_02121	K00138
PXENO_02122	K09959
PXENO_02123	K03736
PXENO_02124	K03735
PXENO_02125	K16238
PXENO_02126	K13652
PXENO_02127	K05799
PXENO_02128	K01685
PXENO_02130	K08177
PXENO_02137	K02470
PXENO_02138	K02338
PXENO_02139	K02313
PXENO_02140	K02914
PXENO_02141	K03536
PXENO_02142	K03217
PXENO_02145	K03650
PXENO_02150	K00163
PXENO_02151	K03719
PXENO_02152	K07124
PXENO_02154	K02503
PXENO_02155	K00657
PXENO_02158	K13875
PXENO_02160	K08234
PXENO_02162	K10778
PXENO_02163	K13529
PXENO_02164	K01919
PXENO_02166	K03446
PXENO_02170	K02463
PXENO_02171	K02462
PXENO_02172	K02461
PXENO_02173	K02460
PXENO_02174	K02459
PXENO_02175	K02458
PXENO_02176	K02457
PXENO_02177	K02456
PXENO_02178	K02452
PXENO_02179	K02455
PXENO_02180	K02454
PXENO_02181	K02453
PXENO_02184	K03530
PXENO_02185	K15461
PXENO_02187	K06048
PXENO_02189	K01951
PXENO_02191	K07117
PXENO_02192	K07649
PXENO_02193	K02483
PXENO_02195	K01724
PXENO_02196	K00500
PXENO_02197	K03719
PXENO_02200	K00140
PXENO_02201	K00108
PXENO_02202	K01995
PXENO_02203	K01996
PXENO_02204	K01999
PXENO_02205	K01997
PXENO_02206	K01998
PXENO_02207	K01999
PXENO_02208	K01999
PXENO_02209	K01997
PXENO_02210	K01995
PXENO_02210	K01998
PXENO_02211	K01996
PXENO_02212	K03495
PXENO_02213	K03501
PXENO_02214	K03496
PXENO_02215	K03497
PXENO_02217	K02116
PXENO_02218	K02108
PXENO_02219	K02110
PXENO_02220	K02109
PXENO_02221	K02113
PXENO_02222	K02111
PXENO_02223	K02115
PXENO_02224	K02112
PXENO_02225	K02114
PXENO_02226	K00666
PXENO_02227	K01713
PXENO_02228	K01599
PXENO_02230	K04066
PXENO_02233	K13821
PXENO_02234	K01999
PXENO_02235	K01652
PXENO_02236	K01752
PXENO_02238	K00281
PXENO_02239	K02437
PXENO_02240	K00605
PXENO_02244	K03656
PXENO_02248	K07484
PXENO_02249	K07484
PXENO_02260	K07484
PXENO_02261	K07484
PXENO_02262	K07483
PXENO_02270	K16079
PXENO_02271	K07301
PXENO_02277	K00648
PXENO_02278	K02078
PXENO_02279	K00648
PXENO_02281	K09667
PXENO_02283	K02407
PXENO_02284	K02406
PXENO_02286	K02970
PXENO_02287	K01246
PXENO_02288	K18676
PXENO_02292	K06188
PXENO_02293	K03746
PXENO_02295	K02403
PXENO_02296	K02402
PXENO_02297	K02556
PXENO_02298	K02557
PXENO_02299	K03413
PXENO_02300	K03407
PXENO_02301	K03408
PXENO_02302	K05874
PXENO_02303	K00575
PXENO_02304	K03411
PXENO_02305	K03412
PXENO_02306	K03413
PXENO_02307	K03414
PXENO_02310	K02401
PXENO_02311	K02400
PXENO_02312	K02404
